stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,3,0,0,1,197,0,11,0,0,0,0,1,0,0,1,78,0,0,0,0,0
 24-34,0,2.46,0,3.28,0.82,0,15.6,0,0,0,1.64,0.82,0,0,2.46,0.82,0,0.82,23.8,0,9.85,0.82,0,4.1,1015.4,0,78.8,0,0,0,1.64,0,0,0,3.28,242.15,0,0,4.93,0,0
 36-46,0,0.81,0,4.83,0.81,0,82.98,0,0,0,11.28,0,0,2.42,0,1.61,0.81,0.81,4.03,0.81,6.45,0.81,0,6.45,2841.6,1.61,84.6,0.81,0,0,5.64,0,0,1.61,0.81,472.12,0,0,12.09,0,0.81
 48-58,0,0.57,0,10.33,2.3,0,472.24,0.57,1.15,2.3,57.38,0,0,1.15,1.72,1.15,1.15,0.57,3.44,1.72,55.66,0,2.3,8.61,4566.91,1.15,60.82,1.15,0,0.57,5.16,0,1.15,1.15,0,552.57,0,0,16.64,0,2.87
 60-70,0,0.98,0,18.65,1.96,0,763.62,2.94,0.98,2.94,104.04,1.96,0,0,9.82,3.93,3.93,1.96,4.91,0.98,72.63,0,1.96,8.83,5892.08,0.98,49.08,2.94,0,0,6.87,0,0,0,0,510.39,0,2.94,11.78,0,3.93
 72-82,0,1.96,0,35.34,19.63,0,918.84,3.93,0.98,2.94,207.13,3.93,0.98,1.96,14.72,0,0.98,0.98,0.98,2.94,148.23,1.96,1.96,10.8,5088.93,0.98,97.18,10.8,0,2.94,11.78,0,1.96,0,0,333.77,0.98,2.94,39.27,2.94,5.89
 84-94,0,4.25,0,64.78,10.62,0,715.81,6.37,6.37,1.06,168.86,3.19,0,1.06,20.18,0,3.19,1.06,2.12,1.06,83.9,0,7.43,7.43,2896.18,0,80.71,7.43,0,1.06,18.05,0,2.12,2.12,0,184.79,4.25,5.31,29.74,2.12,1.06
 96-106,0,0,0,50.27,21.86,1.09,454.62,0,1.09,6.56,189.06,8.74,0,1.09,17.49,1.09,1.09,3.28,6.56,0,84.15,1.09,5.46,10.93,2251.26,0,108.19,5.46,0,3.28,17.49,0,4.37,0,0,107.1,0,1.09,34.97,1.09,5.46
108-118,0,1.53,0,32.94,12.26,0.77,333.96,0.77,2.3,1.53,163.15,5.36,0,0.77,16.09,1.53,1.53,1.53,4.6,0.77,42.89,2.3,1.53,2.3,2739.08,0,76.6,5.36,0,0,4.6,0,3.06,0,0,72.77,1.53,3.83,39.83,2.3,1.53
120,0,0,1.96,45.08,11.76,0,370.4,0,5.88,1.96,207.74,1.96,0,0,15.68,1.96,1.96,0,5.88,1.96,54.87,0,3.92,11.76,3270.88,0,54.87,5.88,0,0,7.84,0,3.92,0,0,129.35,1.96,1.96,33.32,0,0
