stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,5.26,26.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,12.59,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,8,0,0,0,32,3,0,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,1.64,0,3.28,3.28,0,0.82,0.82,0,1.64,21.34,0.82,0,0,105.07,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0.81,0,3.22,0,0,0.81,7.25,0,0,0,49.95,0,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,1.72,0,0.57,0.57,0,0,0,0,0.57,5.16,1.15,0.57,0.57,3.44,0,0,0,9.18,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,2.94,0,0,1.96,1.96,0,0,0,13.74,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0,0,0,2.94,1.96,0,0,2.94,0,0.98,0,4.91,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,1.06,1.06,2.12,3.19,0,0,0,1.06,1.06,1.06,1.06,0,1.06,2.12,0,0,0,12.74,0,0,0,1.06,2.12,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,2.19,4.37,0,1.09,0,3.28,0,4.37,1.09,0,0,2.19,0,1.09,0,5.46,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,2.3,0,0.77,6.89,0,0,1.53,1.53,1.53,0.77,1.53,0,0,3.83,0,0,0,1.53,0,2.3,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,7.84,0,0,0,0,1.96,3.92,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0
