stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,39.43,5.26,10.51,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,50.35,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,1,2,1,0,0,8,0,0,6,0,0,0,3,0,0
 24-34,0,0,1.64,0,1.64,0.82,0,0,0,0,0,0,0.82,0,0,1.64,7.39,0,0,0.82,0,0,0.82,4.1,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,0.81,0,0,0,8.06,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,0,1.15,0,0,1.15,0,0.57,0,3.44,0,0,0,0,0.57,0,3.44,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0.98,0.98,7.85,0,0,0.98,0,0,0,0,0.98,0,0,0.98,9.82,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,10.62,0,0,2.12,0,0,1.06,0,0,2.12,0,0,3.19,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,5.46,0,1.09,0,1.09,0,2.19,0,0,2.19,0,0,3.28,0,0,2.19,0,0,0,0,0,0
108-118,0,0.77,0,11.49,14.55,0.77,0,0,0,0,0,0,0.77,1.53,0,0,3.83,0,0,0.77,0.77,0,0,0,0.77,0.77
120,0,0,0,7.84,29.4,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0
