stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0,2,5,0,0,5,77,2,0,0,1,0,0,2,0,0,3,37,0,0,2,0,0
 24-34,0,0,0,0.82,0.82,12.31,0,0,0,0.82,0,0,1.64,0,0,0,0,0,5.75,7.39,0,0,3.28,357.89,0,3.28,0,0,0,0.82,0,0,0.82,0.82,130.52,0,0,16.42,0,1.64
 36-46,0,0,0,1.61,0,78.15,0.81,0,0.81,7.25,0,0,0,0,0,0,0,0,6.45,10.47,0.81,0,4.83,1117.46,0,4.03,0,0,0,1.61,0,0.81,0,0,271.51,0,0,8.06,0,1.61
 48-58,0,0.57,0,3.44,0,183.04,0,1.15,1.15,14.92,0,0,0.57,0.57,0,0.57,0,0,9.18,14.35,0,0.57,4.02,1091.38,0.57,2.3,0.57,0,0,2.3,0,0,0,0,247.31,0,0.57,6.31,0,1.15
 60-70,0,0,0,1.96,0,519.23,0,0,0,21.59,0.98,0,0,0,0.98,0,0,0,3.93,17.67,0,0.98,3.93,1721.59,0,3.93,0,0,0,2.94,0,0.98,0,0,291.51,0,0,14.72,0,3.93
 72-82,0,2.94,0,5.89,6.87,345.54,0,0,2.94,31.41,0.98,0,1.96,1.96,0,0.98,0,0,3.93,26.5,0,0.98,0,1129.89,1.96,0.98,0.98,0,1.96,0.98,0,0,0,0,139.4,0,0.98,10.8,0,3.93
 84-94,0,0,0,10.62,2.12,223.03,0,0,2.12,39.3,1.06,0,0,1.06,0,2.12,0,0,8.5,22.3,0,0,1.06,639.35,1.06,0,0,0,0,3.19,0,0,0,0,66.91,1.06,1.06,8.5,0,5.31
 96-106,0,1.09,0,5.46,3.28,140.98,0,0,1.09,29.51,3.28,0,0,3.28,1.09,2.19,3.28,0,4.37,25.14,0,0,2.19,448.07,0,1.09,3.28,0,2.19,5.46,0,0,0,0,34.97,0,1.09,8.74,1.09,1.09
108-118,0,0.77,0.77,6.89,0.77,133.28,0,1.53,1.53,35.23,2.3,0,0,0,0.77,3.06,0,0.77,13.79,11.49,0,1.53,2.3,479.49,0,5.36,0.77,0,0,1.53,0,0.77,0,0,20.68,0.77,1.53,7.66,0.77,11.49
120,0,0,0,11.76,0,127.39,0,0,1.96,23.52,1.96,0,1.96,3.92,0,0,0,0,1.96,13.72,0,0,0,607.53,0,1.96,1.96,0,0,0,0,3.92,0,0,29.4,0,0,1.96,0,1.96
