stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,24,63,1,2,0,0,0,0,13,61,0,0,3,5,1,0,2,1,0,1,8,0,14,0,1,0,0,0,51,0,4,0,0,0
 24-34,0,0,1.64,30.37,27.91,0,0.82,0.82,0,0,0.82,6.57,27.09,0,0,10.67,46.79,3.28,0,4.1,7.39,0,1.64,44.33,0.82,113.28,7.39,0,0,4.1,0,68.13,0.82,8.21,0,1.64,0
 36-46,0,0,0,2.42,15.31,0,1.61,0,2.42,0,0,6.45,7.25,0.81,0.81,1.61,30.62,2.42,0,3.22,9.67,0,0.81,87.01,2.42,84.6,3.22,0,0,4.03,0,42.7,0,8.06,0,0,0.81
 48-58,0,0,0,4.59,7.46,0,3.44,0,0.57,0,0.57,4.59,25.25,0,0,0.57,29.84,0.57,0,2.87,7.46,0,1.72,33.85,1.15,57.38,4.02,0,0,2.3,0,22.95,0,1.72,0,0,0
 60-70,0,0,0,0.98,5.89,0,2.94,0,0.98,1.96,2.94,14.72,14.72,0,0,0,42.21,0,0,0.98,4.91,0,0,23.56,0,68.71,0.98,0,0,2.94,0,30.43,0,2.94,3.93,0.98,0
 72-82,0,0,6.87,0,7.85,0,6.87,0.98,0,0,3.93,24.54,5.89,0,0,1.96,72.64,2.94,0.98,6.87,8.83,0.98,0.98,35.34,0,107,3.93,0,0,0.98,0,28.47,0,0.98,24.54,0.98,0
 84-94,0,0,7.43,0,10.62,2.12,2.12,0,1.06,0,3.19,90.27,15.93,0,0,4.25,114.7,8.5,1.06,5.31,6.37,0,0,30.8,0,149.75,3.19,0,0,8.5,0,88.15,0,1.06,109.39,0,1.06
 96-106,0,0,4.37,0,22.95,1.09,9.84,0,0,0,4.37,103.82,2.19,0,1.09,1.09,135.51,13.11,0,6.56,8.74,1.09,0,22.95,0,205.46,2.19,0,1.09,4.37,0,46.99,0,0,161.74,0,1.09
108-118,0,0,3.83,0.77,21.45,0,1.53,0,2.3,0,2.3,137.87,0,0,1.53,6.89,102.64,13.79,0,2.3,4.6,0,0,19.92,0.77,140.94,0.77,0,0,9.19,0,48.26,0,0,170.81,0,0
120,0,0,1.96,0,27.44,0,3.92,0,1.96,0,0,56.83,0,0,1.96,3.92,56.83,7.84,0,3.92,3.92,0,3.92,9.8,0,86.23,0,0,0,5.88,1.96,31.36,0,0,54.87,5.88,0
