stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,10.51,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,2.63,0,0,52.57,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,248.61,6.29,0,0,50.35,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,3,10,1,0,5,0,0,5,0,0,1,0,1,0,0,0,1,2,0,0,3,81,1,3,3,1,0,10,0,4,10,0,4,53,0,0,1,0,0
 24-34,0,0,2.46,0,4.1,0,0,16.42,0.82,0,5.75,0.82,0,0,0,0.82,0,0,0,0,7.39,0,0,2.46,183.05,0,21.34,4.93,0,0,8.21,0,0,2.46,0,0.82,46.79,0,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,0,19.34,0.81,1.61,11.28,0,0,0,0,0.81,0,1.61,0,1.61,15.31,0,0,1.61,254.59,0,21.75,2.42,0,0,8.86,0,0,0.81,0,0,50.76,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,64.84,1.72,1.15,25.25,0,0.57,0.57,0,0.57,0,2.3,0.57,1.15,26.4,0.57,1.15,4.59,367.81,0.57,12.62,3.44,0,0,6.89,0,0,0,0,0,60.82,0,0.57,0,0,2.3
 60-70,0,0,1.96,0,7.85,0,0,123.67,0,0,43.19,1.96,0,0,0.98,0,0.98,0,1.96,0,39.26,0.98,0,1.96,458.37,0.98,18.65,5.89,0,0,11.78,0,0,0.98,0,0,48.09,0,0.98,0,0.98,0
 72-82,0,0,2.94,0,5.89,0.98,0,211.06,1.96,1.96,69.7,1.96,0,0,0.98,3.93,0.98,1.96,0,0.98,94.24,0.98,3.93,3.93,514.39,0,32.39,12.76,0,0,14.72,0,0,1.96,0,0,30.43,0.98,2.94,4.91,1.96,4.91
 84-94,0,0,4.25,0,14.87,2.12,0,140.19,1.06,4.25,53.1,4.25,0,2.12,1.06,2.12,4.25,4.25,1.06,1.06,54.16,1.06,1.06,0,231.52,0,18.05,19.12,0,3.19,44.61,0,0,3.19,0,0,23.36,2.12,1.06,4.25,3.19,3.19
 96-106,0,0,3.28,0,14.21,2.19,2.19,119.12,3.28,3.28,40.44,6.56,0,2.19,2.19,5.46,1.09,7.65,2.19,0,48.09,2.19,1.09,3.28,205.46,1.09,38.25,29.51,0,0,24.04,0,0,0,1.09,0,12.02,1.09,2.19,4.37,4.37,4.37
108-118,0,0,0.77,0,11.49,3.06,0,91.15,0.77,3.83,34.47,6.89,0,0,0.77,3.06,4.6,1.53,2.3,3.06,44.43,0.77,0.77,2.3,222.13,0.77,19.15,19.15,0,3.06,22.21,0,0,1.53,0,0,6.89,2.3,1.53,5.36,3.06,6.13
120,0,0,0,1.96,21.56,0,0,70.55,7.84,0,35.28,5.88,0,1.96,1.96,3.92,3.92,11.76,0,3.92,21.56,0,1.96,1.96,215.58,1.96,23.52,21.56,0,1.96,19.6,0,0,3.92,0,0,7.84,0,1.96,1.96,1.96,1.96
