stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord
  3-4,65.89,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,36.78,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,91.94,0,0,0,0,0
  7-9,10.51,21.03,18.4,0,0,44.69,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,310.19,13.14,0,165.61,2.63,5.26,0,0,0,0
 10-12,0,3.15,3.15,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,88.12,15.73,0,44.06,3.15,3.15,3.15,0,0,0
 14-21,0,0,1,19,1,0,0,3,0,1,0,0,1,0,0,0,5,0,0,3,6,0,0,0,3,0,0,0,3,1
 24-34,0,0,0,8.21,0,0.82,0,20.52,0,0,1.64,0,0.82,1.64,0.82,0,8.21,0,0,1.64,9.03,0,0,0,5.75,0,3.28,3.28,1.64,0.82
 36-46,0,0,0,1.61,0,0,0,20.95,0,0,0.81,0,0.81,0,0,0,3.22,0.81,0,0,4.03,0,0.81,0,29.81,0,5.64,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,13.2,0,0.57,0,0,0,0,0.57,0,2.87,0,0.57,0,2.87,0,0,0,76.32,0,4.02,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,11.78,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,43.19,0,0.98,0,0,0
 72-82,0,0,0,3.93,0,0,0,5.89,0,0.98,0,0,0,0.98,0,0,5.89,0.98,0,0,0,0,0,0,63.81,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,26.55,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,164.62,0,8.5,0,0,0
 96-106,0,0,0,3.28,0,1.09,1.09,9.84,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,44.81,0,4.37,0,0,0
108-118,0,0,0,3.06,0,0,0,20.68,0,0,0.77,0,0,0,0,1.53,2.3,0,0,0,1.53,0,0,0,47.49,0,6.13,0,0,0
120,0,0,0,0,0,1.96,0,9.8,0,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,9.8,0,1.96,0,0,0
