stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,73.6,5.26,0,81.49,0,0,0,0
 10-12,0,0,0,3.15,0,0,44.06,9.44,0,135.32,3.15,6.29,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,2,19,0,11,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
