stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,9,2,5,0,0,0,0,0,0,0,0,14,0,3,8,0,0,0,2,1,2,0,1,3,2,0,0
 24-34,0,0,10.67,0.82,26.27,0.82,4.1,1.64,0,0.82,0.82,0,0.82,48.43,0,20.52,31.19,0,0.82,0,13.95,0,0,0,0,5.75,0.82,0,0
 36-46,0,0,0.81,0,19.34,2.42,33.84,1.61,1.61,0,0,0,0,78.15,1.61,45.92,19.34,0,0,0,5.64,0.81,0,0,0,5.64,0,0,0
 48-58,0,0,0.57,0,17.79,0.57,33.85,1.15,0,0,0,0,0,102.71,0,33.85,34.43,0,0,0,4.59,0.57,0,0.57,0,6.31,0.57,1.15,0
 60-70,0,0,1.96,0,18.65,2.94,38.28,1.96,0,0,0,0,0.98,114.84,0.98,11.78,38.28,0,0,0,4.91,0,0,0.98,0,10.8,0,0,0.98
 72-82,0,0,0,0.98,17.67,1.96,49.08,7.85,0,0,0.98,0,0,186.52,0,16.69,46.14,0,0,0,2.94,0,0,0,0,3.93,0,1.96,0
 84-94,0,0,4.25,0,30.8,2.12,33.99,5.31,0,1.06,0,0,1.06,151.87,1.06,9.56,18.05,1.06,0,0,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,2.19,0,0,18.58,3.28,31.69,4.37,0,0,0,0,1.09,134.42,0,6.56,25.14,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0.77,0.77,0,4.6,2.3,39.83,0,0.77,0,0,0.77,0.77,119.49,0,6.13,28.34,0,0.77,0,2.3,0,0,0,0,1.53,0,0.77,0
120,0,0,0,0,5.88,1.96,37.24,0,0,0,0,0,3.92,80.35,0,1.96,23.52,0,0,0,0,0,0,0,0,1.96,0,0,0
