stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,3.22,0.81,0.81,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,0,3.44,0,0,0,0.57,0,0
 60-70,0,0,0,0,10.8,0,0,0,0,0,0.98,0.98,2.94,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,38.28,0,2.94,0,0,0,0,0,4.91,0,0,0,0,0.98,1.96
 84-94,0,1.06,0,0,15.93,0,0,0,1.06,0,0,0,4.25,0,3.19,0,0,0,0
 96-106,0,0,1.09,1.09,38.25,0,0,1.09,0,1.09,2.19,0,3.28,0,0,0,0,0,1.09
108-118,0,0,0,0.77,36,0.77,0,0,0,0.77,0.77,0,4.6,0,2.3,0,0,0,0
120,0,0,0,0,15.68,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0
