stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0
 24-34,0,0,2.46,0,0,3.28,0,0,0.82,0,0,1.64,0,0.82,0,0,3.28,0,0.82,28.73,0,0.82,0.82,0,1.64,0.82,0,0.82,9.85,0,0.82
 36-46,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,0,18.53,0,0,0,0,0.81,0.81,0,0.81,2.42,0,0
 48-58,0,0,0.57,0,0,2.87,1.15,0,0.57,0,0,0,0.57,0,0,0,1.15,0,0.57,10.9,0.57,0,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,2.94,0,0,14.72,0,0,4.91,0,0,0,0,0,0,0,2.94,0,0.98,12.76,0,0,0.98,0,0.98,0.98,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,0,9.82,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,11.78,0,0,0,0,1.96,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,1.06,10.62,0,0,1.06,6.37,0,1.06,0,0,0,0,2.12,0,1.06,8.5,0,0,0,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,0,1.09,3.28,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,4.6,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,1.53,3.06,0,0,0,0,0.77,0,0.77,0,0,0,0
120,0,0,3.92,1.96,0,9.8,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,7.84,0,1.96,0,0,3.92,0,0,0,0,0,0
