stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,7,1,0,0,0,0,0,2,0,0,1,54,1,1,0,0,0,0,0,1,51,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,6.57,0,0,0,146.11,0,3.28,0,0,0,0,0,0,100.97,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,1.61,20.14,0.81,0,0,0,0,0,4.83,0,0,0,114.41,0,0.81,0,0,0,0,0,0,103.13,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,9.75,0.57,0,28.69,0,0,0,0,0,0,5.16,0,0.57,0.57,61.97,0,1.15,0,0,0,0,0,0,54.51,0,0,0,0
 60-70,0,0,0,0,0,0,24.54,0,0,43.19,0,0,0,0,0,0,0.98,0,0,0,118.76,0,4.91,0,0,0.98,0.98,0,0,40.24,0,0,0,1.96
 72-82,0,0,1.96,0,2.94,0,35.34,0.98,0.98,75.59,1.96,0,0,0,0,0,23.56,0,0,0,209.09,0,0.98,0.98,0,0,0,0,0,34.36,1.96,0,0.98,0
 84-94,0,0,0,0,3.19,0,31.86,0,0,35.05,6.37,0,0,0,1.06,0,7.43,1.06,0,2.12,121.07,0,2.12,0,0,0,1.06,0,0,25.49,0,0,0,0
 96-106,0,0,2.19,0,2.19,1.09,20.76,1.09,1.09,37.16,3.28,0,2.19,0,0,0,16.39,0,0,1.09,131.14,0,1.09,0,0,0,0,0,0,17.49,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0,19.15,0.77,0,36.77,0.77,0,0,0.77,0.77,0,7.66,0,0,0,166.21,0,1.53,0.77,0,0,0,0.77,0,12.26,0,0.77,0,0
120,0,0,0,0,1.96,0,29.4,0,0,37.24,1.96,0,0,0,0,1.96,9.8,0,0,0,209.7,0,3.92,0,0,0,0,0,0,15.68,0,0,0,0
