stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,9,1,3,0,0,0,0,0,0,0,3,64,1,0,0,0,1,2,11,13,1,0
 24-34,0,8.21,0,4.93,3.28,0.82,1.64,0.82,0,0,0,0,100.14,0,0,2.46,0,0,0,0.82,23.8,7.39,0
 36-46,0,4.83,0,4.03,1.61,0,4.83,0,1.61,0.81,0,0.81,91.85,0.81,0.81,3.22,0,0,0,0,19.34,7.25,0
 48-58,0,3.44,0,2.3,2.87,0,13.77,1.15,0.57,1.72,0,0,37.3,0,0,1.15,0,0,0,0,11.48,4.59,0
 60-70,0,4.91,0,2.94,2.94,0,12.76,0.98,0.98,0,0,0,16.69,0,0,1.96,0,0,0,0,0.98,7.85,0
 72-82,0,0.98,0,2.94,1.96,0,22.58,0,0,0.98,0,0,14.72,0,0,0,0,0,0,0,3.93,7.85,0
 84-94,0,1.06,0,2.12,7.43,1.06,9.56,0,2.12,1.06,0,0,14.87,0,0,1.06,0,0,0,0,0,6.37,0
 96-106,0,4.37,0,1.09,4.37,0,12.02,0,0,1.09,0,1.09,7.65,0,0,1.09,0,0,0,0,0,8.74,1.09
108-118,0,11.49,0,0,9.96,0,9.96,0,0,0.77,0.77,0,9.19,0,0,0,0,0,0,0,0,3.83,0.77
120,0,5.88,0,3.92,5.88,0,11.76,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,7.84,0
