stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,913.32,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,18.4,0,15.77,0,0,55.2,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,533.63,31.54,0,0,115.66,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,47.2,0,3.15,59.79,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,786.74,53.5,0,0,119.58,0,0,12.59,0,9.44,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,131,5,11,0,0,0,3,4,3,0,1,0,0,1,0,1,27,0,0,23,110,11,0,4,3,0,4,4,13,1,17,52,0,0,1,0,5
 24-34,0,0,0,3.28,14.78,1.64,10.67,0,5.75,3.28,5.75,2.46,0,2.46,3.28,1.64,0,0.82,0,2.46,28.73,1.64,0,15.6,108.35,2.46,1.64,4.93,0,0,12.31,0,0,0.82,2.46,37.76,0,0,11.49,0,29.55
 36-46,0,0,0,0.81,7.25,0.81,8.06,0,0,3.22,13.7,0,0,3.22,4.83,0,0.81,1.61,0,0,43.51,0.81,1.61,16.92,105.54,0,2.42,4.83,0,0,15.31,0,0,0,0,41.09,0,0.81,9.67,0,44.31
 48-58,0,0,0,0.57,4.59,0.57,11.48,0,3.44,3.44,14.35,0,0,0,4.02,0,0,0.57,0.57,1.72,49.92,0,2.87,8.03,28.69,1.72,1.72,2.87,0,0,12.62,0,0,0,0,25.25,0,0,5.16,0,35
 60-70,0,0,0,0,2.94,0,13.74,0,1.96,4.91,16.69,0,0,0,5.89,0.98,1.96,3.93,1.96,0.98,83.43,0,3.93,8.83,19.63,0.98,3.93,1.96,0,0,14.72,0,0,0,0,7.85,0,1.96,0,1.96,41.22
 72-82,0,0,0.98,0.98,4.91,0,10.8,0,0,0.98,17.67,4.91,0,0.98,8.83,0,0.98,1.96,0.98,0.98,72.64,0,2.94,5.89,21.6,0,7.85,7.85,0,0,6.87,0,0,0,0,0.98,0,1.96,10.8,0.98,19.63
 84-94,0,0,0,0,9.56,0,10.62,0,2.12,3.19,23.36,2.12,0,2.12,13.81,1.06,2.12,2.12,1.06,0,38.23,0,1.06,5.31,16.99,0,1.06,5.31,0,1.06,14.87,0,0,0,0,3.19,1.06,3.19,12.74,3.19,10.62
 96-106,0,0,4.37,0,14.21,1.09,6.56,1.09,1.09,1.09,18.58,6.56,0,0,21.86,0,6.56,3.28,0,0,57.92,0,2.19,2.19,18.58,0,6.56,10.93,0,3.28,12.02,0,0,0,0,0,2.19,1.09,6.56,5.46,17.49
108-118,0,0,0,0.77,12.26,0,3.06,0,3.83,0.77,14.55,3.83,0,1.53,15.32,1.53,3.83,0,1.53,0.77,26.81,0.77,2.3,4.6,16.09,0,4.6,3.83,0,0.77,3.06,0,0,0,0,1.53,0,0.77,6.89,0.77,12.26
120,0,0,0,0,9.8,0,7.84,0,0,0,13.72,5.88,0,0,17.64,0,1.96,1.96,0,0,23.52,0,1.96,3.92,13.72,1.96,1.96,3.92,0,1.96,7.84,0,0,0,0,1.96,0,0,5.88,0,5.88
