stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,5,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,30,0,0,0,0,3,0,2,19,14,15,10,0,0,0,0
 24-34,0,0,0,4.93,0.82,0.82,0,1.64,0,0,0,0,3.28,1.64,2.46,0.82,0.82,0,0.82,0,0,0,6.57,36.12,0,0,0.82,0,18.06,0,0,32.83,4.93,9.03,6.57,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,0,4.03,1.61,0,0,1.61,0.81,4.03,1.61,3.22,0,0,0.81,3.22,0,0,4.83,24.17,0.81,0,0,0,20.95,0,0,17.72,5.64,1.61,6.45,0,0,1.61,0
 48-58,0,0,0,0.57,0,0.57,0,6.89,5.16,0,0,1.72,1.72,9.75,1.15,2.3,0,0.57,0.57,6.31,0,0,0,19.51,0,0,0,0,14.92,0,0,12.05,3.44,0,5.74,0,0,5.16,0
 60-70,0,0,0,0,0.98,0,0,4.91,2.94,0.98,0,10.8,3.93,2.94,0,0.98,0,0,1.96,10.8,0.98,0,0,26.5,1.96,0,0,0,14.72,0,0,9.82,1.96,0,7.85,0,0.98,5.89,0
 72-82,0,0,1.96,1.96,1.96,0,0,8.83,0.98,0.98,0,8.83,13.74,2.94,0.98,6.87,2.94,0,1.96,12.76,2.94,0.98,1.96,29.45,0,0,0,0,17.67,0,0,12.76,1.96,0,0.98,0,0.98,18.65,0
 84-94,0,0,1.06,0,10.62,0,0,16.99,2.12,0,0,2.12,23.36,7.43,1.06,13.81,1.06,0,5.31,12.74,2.12,1.06,2.12,13.81,0,0,1.06,0,48.85,0,0,38.23,2.12,0,0,1.06,2.12,12.74,0
 96-106,0,0,1.09,1.09,12.02,2.19,0,13.11,5.46,1.09,1.09,12.02,52.46,1.09,1.09,20.76,1.09,0,8.74,15.3,4.37,1.09,1.09,19.67,0,1.09,0,0,34.97,0,0,21.86,2.19,0,1.09,3.28,1.09,19.67,1.09
108-118,0,0,0.77,0.77,18.38,0,5.36,13.79,3.83,0.77,0,8.43,55.92,0.77,0.77,9.19,3.83,0,9.96,11.49,3.06,0,3.06,15.32,1.53,0,0,0,32.94,0,0,16.09,0.77,0,0,9.19,0.77,21.45,0.77
120,0,0,0,0,19.6,0,3.92,11.76,7.84,0,0,3.92,37.24,0,0,17.64,1.96,1.96,21.56,15.68,0,1.96,3.92,9.8,0,0,0,0,23.52,0,0,17.64,0,0,0,9.8,0,27.44,0
