stage,axial,epidermis,eye,fast_muscle,mesenchyme,mural_cell,muscle,neural,spinal_cord,vascular_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0.82,0.82,0,0
 36-46,0,0,0,0,1.61,0,1.61,2.42,0,0
 48-58,0,0,0,0,5.74,0,4.02,0.57,0,0
 60-70,0,0,0,0.98,7.85,0.98,3.93,3.93,0,0
 72-82,0,0,0,0,6.87,0,3.93,8.83,0,0
 84-94,0,1.06,0,0,5.31,0,1.06,2.12,1.06,1.06
 96-106,0,0,0,0,1.09,0,1.09,3.28,0,0
108-118,0,0,0,0,3.06,0,0.77,2.3,0,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0
