stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1607.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,104.2,1244.32,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,12.26,0,12.26,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,289.16,7.89,97.26,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,12.59,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0,0,0,0,5.74,2.3,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,0.98,15.7,0,0,0,0,0,0,0,1.96,4.91,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,3.93,0,1.96,0,0,3.93,0,2.94,77.55,0,0.98,0,0.98,0,0,1.96,15.71,0,13.74,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,3.19,1.06,3.19,0,0,4.25,0,0,184.79,0,0,1.06,0,1.06,0,5.31,5.31,0,7.43,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,6.56,0,5.46,0,0,6.56,1.09,4.37,293.98,0,0,0,0,0,1.09,45.9,9.84,1.09,72.13,0,0,1.09,4.37,0,0,1.09,0,1.09,2.19
108-118,0,0,5.36,2.3,2.3,3.06,1.53,7.66,0.77,3.06,324.77,0,0,0.77,0,0.77,0,72,9.96,1.53,62.81,0,0,0,1.53,0,0.77,0.77,0,0,1.53
120,1.96,0,7.84,1.96,3.92,0,0,7.84,0,0,192.06,0,0,1.96,0,0,0,35.28,7.84,1.96,50.95,1.96,0,0,0,0,0,0,1.96,0,0
