stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,13,1,0,10,0,0,0,2,0,1,12,0,0,0,0,0,7,0,0,7,96,1,0,1,0,2,9,0,0,18,31,0,0,0,0,0
 24-34,0,0,0,6.57,1.64,0,21.34,0,0,0,3.28,0,4.93,45.97,2.46,0,0,0,1.64,26.27,0.82,4.93,17.24,134.62,0.82,2.46,1.64,0.82,4.1,0,0,0,1.64,26.27,0,0,3.28,0,0
 36-46,0,0.81,0,5.64,0.81,0,25.78,0,1.61,0,4.03,0.81,2.42,55.59,2.42,0,0,0,0,36.26,0,30.62,8.06,147.44,0.81,2.42,0.81,2.42,4.03,0,0,0,0,33.03,0,1.61,2.42,0,0
 48-58,0.57,0,0,3.44,16.64,0,32.71,1.15,0.57,2.3,6.89,1.15,5.16,65.99,4.02,0,0,0.57,0,33.28,0,59.68,7.46,103.86,0,0,1.15,4.02,2.87,0,0,0,0,32.13,0,2.87,4.02,2.3,1.15
 60-70,0,0.98,0,7.85,23.56,0,44.17,0.98,1.96,0.98,3.93,0,3.93,99.13,1.96,1.96,0,0.98,0,67.73,0,99.13,5.89,148.21,2.94,0,3.93,10.8,2.94,0,0,0,0,22.58,0,22.58,6.87,21.59,0.98
 72-82,0,0.98,0,14.72,130.56,0,117.8,0,2.94,8.83,36.32,6.87,11.78,214.98,4.91,0.98,3.93,2.94,0,214.98,2.94,126.63,18.65,260.14,0,2.94,10.8,26.5,4.91,0,0.98,0,0,23.56,0.98,46.14,20.61,90.31,0.98
 84-94,1.06,2.12,0,12.74,98.77,0,92.4,0,3.19,3.19,28.68,5.31,10.62,250.64,5.31,1.06,9.56,4.25,1.06,138.06,1.06,162.49,14.87,103.02,0,0,6.37,19.12,12.74,0,1.06,1.06,0,12.74,1.06,46.73,19.12,103.02,0
 96-106,0,2.19,0,18.58,100.54,1.09,79.78,0,6.56,8.74,17.49,19.67,21.86,299.44,13.11,1.09,13.11,3.28,0,206.55,1.09,100.54,20.76,110.38,0,5.46,14.21,42.62,21.86,0,1.09,0,0,6.56,2.19,38.25,43.71,130.05,5.46
108-118,0,0,0.77,19.92,39.06,3.06,42.89,2.3,3.06,3.83,16.09,16.09,16.09,273.45,9.96,0,3.06,2.3,0,176.94,0.77,108,13.79,127.15,2.3,5.36,4.6,51.32,13.79,0,0,0.77,0,11.49,1.53,25.28,29.11,94.98,3.06
120,0,0,0,19.6,96.03,0,45.08,0,5.88,7.84,17.64,13.72,13.72,464.47,5.88,0,3.92,5.88,0,233.21,0,139.14,23.52,143.06,3.92,5.88,5.88,64.67,15.68,0,0,0,0,9.8,1.96,50.95,33.32,119.55,1.96
