stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,21.03,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,2,0,0,0,3,0,2,0,0,1,2,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0,0,0.82,1.64
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,0.57,1.15,0,0,0,1.15,0,3.44,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0,2.94,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
