stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,9.85,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0.81,0.81,0,0,0,1.61,0,0,0,5.64,0.81,0,0,0
 48-58,0,0,0,4.02,0,0,0,0,5.16,2.3,0,0,4.02,0,0,0,2.3,0,0,0,6.89,0.57,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,8.83,3.93,0,0,8.83,0,0,0,5.89,0,0,0,9.82,0.98,0,0,0
 72-82,6.87,1.96,0.98,15.71,0,0.98,0,0.98,58.9,3.93,0,0,55.95,2.94,0,0,19.63,0,0,0,14.72,2.94,0.98,0.98,0
 84-94,2.12,0,1.06,22.3,0,0,0,0,86.03,3.19,0,0,183.73,0,0,0,6.37,0,0,5.31,37.17,3.19,2.12,0,1.06
 96-106,1.09,2.19,2.19,16.39,1.09,0,1.09,4.37,97.26,4.37,1.09,1.09,238.24,4.37,1.09,1.09,31.69,1.09,1.09,2.19,31.69,1.09,0,0,0
108-118,3.06,2.3,0.77,16.85,0,0,0,0.77,115.66,7.66,0,0.77,409.02,7.66,0,2.3,36,0,0.77,0.77,36.77,1.53,0.77,0,0
120,0,3.92,0,7.84,0,0,0,1.96,80.35,7.84,0,0,166.58,1.96,0,0,21.56,1.96,0,0,11.76,1.96,0,0,0
