stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0,0,1.64,4.93,0,1.64,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,5.64,1.61,0.81,0.81
 48-58,0,0,0,0,2.87,0,0.57,0,0,0,0,0,6.31,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0.98,13.74,0,0,0,0,0,2.94,0,8.83,0,0,0
 84-94,0,0,1.06,0,10.62,1.06,1.06,0,0,0,0,0,9.56,0,0,0
 96-106,0,0,0,0,25.14,0,0,0,1.09,0,0,0,7.65,2.19,0,0
108-118,0,0,0.77,0,5.36,0.77,0,0,0,0.77,0.77,0,3.06,1.53,0.77,0
120,0,0,0,0,21.56,0,0,0,0,0,0,0,5.88,1.96,0,0
