stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0.82,3.28,0,0,0,0,0,0,0,0,0,0,2.46,0,2.46,33.66,0.82,0,0,0,0,0,0,0,2.46,0,0.82,0.82
 36-46,0,0,5.64,0.81,0,0,0,1.61,0,0,0,0,0,3.22,0.81,1.61,12.89,0,0,0,0,1.61,1.61,0,0,4.83,0,1.61,0
 48-58,0,1.72,6.31,1.15,0.57,0,0,0,0,0,0,0,0,2.87,0,0.57,8.03,0.57,0,1.15,0,1.15,0,0,0,2.3,0,0,0
 60-70,0,2.94,15.7,0,0,0.98,2.94,0,0,0,0,0,0,7.85,0,0,22.58,0,0,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0,0.98,16.69,0,0,0,4.91,0,0,0.98,0.98,1.96,0,10.8,0.98,0,24.54,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0.98
 84-94,0,0,7.43,0,0,2.12,2.12,0,1.06,1.06,1.06,1.06,1.06,5.31,1.06,1.06,9.56,0,0,2.12,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,2.19,0,1.09,7.65,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,2.3,0.77,0,0,1.53,0.77,0,0,0,0,0,2.3,0,1.53,6.13,0,0,0,0,2.3,0.77,0,0,0.77,0,0.77,0
120,0,7.84,11.76,1.96,0,0,3.92,1.96,5.88,0,0,0,0,1.96,0,7.84,39.2,0,0,0,0,9.8,1.96,0,0,0,0,1.96,0
