stage,blastomeres,epidermis,erythrocytes,eye,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,21.03,0,10.51,0,0,0
 10-12,0,0,3.15,3.15,0,0,28.32,0,6.29,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0.57,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0
