stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,1,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,64,0,0,0,0,115,4,1,74,0,0,0,0
 24-34,0,0,1.64,20.52,0,4.1,0,0,3.28,0.82,2.46,0,7.39,0.82,0,0,0,1.64,1.64,0,0,292.22,0.82,0.82,1.64,0,5.75,5.75,0,221.63,0,0,0.82,0
 36-46,0,0,0,6.45,0,12.09,0,0,2.42,0.81,0,0,0.81,1.61,0,0,0,5.64,1.61,0,0.81,492.26,0,3.22,1.61,0,2.42,5.64,0,239.28,0,0,0,0
 48-58,0,0,0,5.74,0,18.36,0,0,8.61,0,0,0,0.57,1.72,0,0,0,16.64,0,0,1.72,545.69,0,0.57,2.87,0,0,1.15,0,119.93,0,0,0,0
 60-70,0,0,0,1.96,0,27.48,0,0,14.72,0,0,0,0,0,0,0.98,0.98,14.72,0,0,4.91,1142.49,0,5.89,1.96,0,0.98,6.87,0,180.6,0,0,0.98,0.98
 72-82,0,0,0,3.93,2.94,43.19,0,0,28.47,0.98,0,0,0,0,0,0,0,20.61,0,0,4.91,826.56,0,1.96,4.91,0,0.98,0.98,0,85.4,0.98,0,1.96,0
 84-94,0,0,0,6.37,0,49.92,0,0,14.87,2.12,0,0,0,3.19,0,0,0,20.18,0,3.19,2.12,420.57,0,0,4.25,0,1.06,4.25,0,50.98,0,1.06,0,0
 96-106,0,1.09,0,6.56,0,41.53,0,0,19.67,0,0,1.09,1.09,4.37,0,1.09,0,17.49,0,1.09,3.28,354.08,0,1.09,2.19,0,2.19,1.09,0,22.95,0,0,0,0
108-118,0,0,0,3.06,0.77,21.45,0.77,0,16.85,0.77,0,0,0,0.77,1.53,0,0,22.21,0,0,2.3,440.43,0.77,2.3,6.13,0,0.77,1.53,0,19.15,0,0.77,0,0
120,0,0,1.96,1.96,1.96,25.48,0,1.96,9.8,1.96,0,0,0,3.92,0,0,0,27.44,0,1.96,1.96,391.96,0,0,1.96,0,1.96,3.92,0,15.68,0,0,1.96,0
