stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,55.2,5.26,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,273.79,3.15,0,94.41,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,7,0,0,0,2,2,0,0,1,2,0,0,0,0
 24-34,0,0,0,3.28,0,2.46,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,13.13,0,1.64,0,11.49,0,0,1.64,0.82,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0,9.67,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,5.16,0,0.57,0.57,2.3,0.57,0,0,0,0,0,0,1.15,0.57,0,12.62,0,0.57,0,9.18,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0,4.91,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,3.93,0,0,0,14.72,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,3.93,0.98,0,0.98,0,0,0,0,0,0.98,0,0,2.94,0,0.98,5.89,0,1.96,0,18.65,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,5.31,0,1.06,0,2.12,0,1.06,0,0,1.06,1.06,1.06,0,0,4.25,0,1.06,1.06,0,0,0,70.09,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,4.37,0,1.09,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,1.09,0,0,0,0,0,34.97,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,3.06,0,0.77,0,2.3,0,1.53,0,0,3.06,0,0,0,0,3.83,0,0.77,7.66,0,0,0,32.94,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,1.96,0,1.96,0,5.88,0,3.92,7.84,1.96,0,0,35.28,0,0,0,0,0,1.96,5.88,0,0
