stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,37.76,0,0,129.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,11,13,22,0,0,13,0,6,0,9,32,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,6.57,0,4.1,28.73,4.1,0,7.39,0,1.64,0,0,1.64,73.06,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,4.83,0,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0,38.67,0,6.45,1.61,0,0,0,0.81,0,60.43,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.02,0,0.57,1.72,0,0,0,0,0,1.72,0,0.57,0,0,50.49,0,1.15,5.74,0,0,0,0,0,32.71,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,13.74,0,0,2.94,0,0,0,0,0,0.98,0,7.85,0,0,65.76,0,2.94,9.82,0,0,0,0.98,0,15.7,0,0,0,0
 72-82,0,0,2.94,0,1.96,0,0,111.91,0,0,15.71,3.93,0,0,0,0,1.96,0.98,6.87,0,0,50.06,0,4.91,13.74,0,0,0,0,0,15.71,0.98,0,3.93,0
 84-94,0,0,5.31,0,1.06,0,0,104.08,0,0,10.62,4.25,0,0,0,0,5.31,0,5.31,0,1.06,43.54,0,2.12,25.49,0,0,0,0,0,7.43,0,1.06,0,0
 96-106,0,0,6.56,0,0,0,0,110.38,0,0,3.28,6.56,1.09,2.19,0,1.09,7.65,0,6.56,1.09,0,37.16,0,7.65,33.88,0,0,0,1.09,0,10.93,0,0,1.09,0
108-118,0,0,3.06,0,0,0,1.53,69.7,0.77,0,7.66,14.55,0,0.77,0.77,0.77,6.89,0,6.13,0,0,45.96,0.77,2.3,26.81,0,0.77,0,0.77,0,3.06,0.77,0,3.06,0
120,0,0,1.96,0,1.96,0,0,60.75,0,0,9.8,7.84,0,0,0,0,0,1.96,5.88,0,0,45.08,0,1.96,17.64,0,0,0,0,0,5.88,1.96,0,0,0
