stage,axial,blastomeres,eye,ionocyte,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,23.66,0,10.51,0,0
 10-12,0,0,0,0,0,6.29,0,22.03,0,0
 14-21,0,0,0,0,0,0,0,0,4,0
 24-34,0,0,0,0,0.82,4.1,0,0,0.82,0
 36-46,0,0,0,0,0,3.22,0,0,1.61,0
 48-58,0,0,0.57,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98
 84-94,0,0,1.06,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0
