stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,1,0,1,0,0,0,2,1,0,0,0,1,0,0,4,0,10,0,0,4,13,21,0,0,0,0,30,0,0,0,1,7,0,0,1,0,0
 24-34,0,0,0,5.75,0,0,4.93,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,27.91,0,0,3.28,36.94,2.46,0,0,0,0,91.12,0,0.82,0,0,9.85,0,0,8.21,0,0
 36-46,0,0,0,11.28,0,0,6.45,0,1.61,0.81,0,0,0,0.81,0,0,0,1.61,0.81,1.61,35.45,0,0.81,8.06,58.01,3.22,1.61,0,0,0,87.01,0.81,0,0,0,7.25,0,0,8.06,0,0
 48-58,0,0.57,0,11.48,0.57,0,13.2,0,0,0.57,5.16,0,0,1.72,0.57,0.57,0,0.57,0,0.57,38.44,1.72,1.15,4.59,75.17,1.72,0.57,0.57,0,0,58.53,0,0,0,0,6.31,0,0.57,5.16,0,0.57
 60-70,0,0,0,12.76,0,0,26.5,0,3.93,0.98,6.87,0,0,0,0,0.98,0,0,0,0.98,52.02,0,2.94,0.98,141.34,5.89,0,0,0,0,36.32,0,0,0.98,0,5.89,0,0,5.89,0.98,0.98
 72-82,0,0,0,15.71,0,0,54.97,0,1.96,6.87,12.76,0.98,0,0.98,0,0,0.98,2.94,0,0.98,84.42,0.98,2.94,4.91,198.3,2.94,0,0,0,1.96,32.39,0,0,0.98,0,11.78,0.98,4.91,21.6,3.93,0
 84-94,0,0,0,26.55,2.12,0,37.17,2.12,5.31,2.12,8.5,0,0,0,2.12,3.19,1.06,0,0,3.19,50.98,3.19,5.31,2.12,105.14,0,0,2.12,0,2.12,89.21,0,0,0,0,10.62,0,3.19,11.68,3.19,0
 96-106,0,0,0,18.58,0,0,27.32,1.09,2.19,1.09,8.74,0,0,1.09,1.09,3.28,0,2.19,1.09,3.28,54.64,5.46,3.28,3.28,131.14,1.09,0,2.19,0,3.28,45.9,0,0,0,0,3.28,6.56,3.28,21.86,4.37,3.28
108-118,0,0,0.77,42.89,0,0.77,29.87,0,5.36,0.77,9.96,0.77,0,0,0,0.77,0.77,3.83,0.77,2.3,40.6,3.06,0.77,2.3,135.58,0.77,0,1.53,0,0.77,42.89,0,0,0,0,5.36,9.19,3.83,15.32,3.06,1.53
120,0,0,0,37.24,0,0,11.76,0,5.88,0,5.88,1.96,0,1.96,0,0,0,0,1.96,0,27.44,0,5.88,3.92,195.98,1.96,0,0,1.96,0,21.56,0,0,0,0,3.92,5.88,3.92,21.56,3.92,0
