stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,26,1,0,2,0,0,2,0,3,0,1,4,16,0,0,0,0,0
 24-34,0,0,0,5.75,0.82,0,10.67,0,0,0,2.46,0,0,1.64,0,0.82,0,0.82,0,0.82,17.24,0,0,7.39,187.98,1.64,5.75,4.1,0,0,13.13,0,0,2.46,0.82,2.46,36.94,0,0,4.93,0,1.64
 36-46,0,0,0,0.81,1.61,0,28.2,0.81,0,2.42,4.83,0,0,0,0.81,0,0.81,0,0,0.81,19.34,0,0.81,9.67,261.84,2.42,5.64,0,0,0,12.09,0,0,0,0.81,0,54.79,0,0,1.61,0,0
 48-58,0,0,0,1.72,1.15,0,45.9,0.57,1.15,1.15,13.2,0.57,0.57,1.15,0,0.57,0,1.72,0,1.15,19.51,1.15,0.57,4.02,224.36,0,1.72,0.57,0,0.57,8.61,0,0,0,0,0,52.79,0,0.57,2.87,0,1.72
 60-70,0.98,0,0,3.93,0.98,0,94.23,1.96,1.96,1.96,22.58,0,0,0,0,0,0,0.98,0,0,45.15,0,0,0.98,274.83,1.96,1.96,1.96,0,0,9.82,0,0,0,0,0,51.04,0,0,1.96,0,1.96
 72-82,0,0,3.93,3.93,12.76,0,119.76,0,1.96,4.91,36.32,0.98,0,0,2.94,0.98,0,2.94,0,0,60.86,0.98,0.98,3.93,296.46,0,2.94,5.89,0,0,17.67,0,0,0,0.98,0,22.58,0.98,0.98,7.85,0.98,1.96
 84-94,0,0,1.06,9.56,10.62,0,78.59,0,0,1.06,18.05,1.06,1.06,1.06,3.19,1.06,0,4.25,0,2.12,33.99,0,0,3.19,172.05,2.12,0,3.19,0,1.06,24.43,0,0,2.12,0,0,24.43,1.06,0,12.74,0,3.19
 96-106,1.09,0,1.09,10.93,10.93,1.09,73.22,1.09,0,0,27.32,2.19,0,3.28,5.46,2.19,6.56,3.28,2.19,0,42.62,0,1.09,2.19,157.37,1.09,7.65,3.28,1.09,2.19,25.14,0,0,2.19,1.09,0,7.65,0,3.28,7.65,2.19,0
108-118,0,0,0,14.55,6.89,1.53,72,0,1.53,3.83,22.98,3.06,0,1.53,3.06,0.77,0.77,0.77,0.77,0,32.17,1.53,0.77,4.6,172.34,0,1.53,7.66,0,0.77,11.49,0,0,0.77,0.77,0,8.43,2.3,0.77,4.6,0.77,3.83
120,0,0,0,19.6,5.88,0,43.12,0,0,0,27.44,7.84,0,0,7.84,5.88,3.92,1.96,0,0,15.68,0,1.96,5.88,205.78,3.92,3.92,5.88,0,0,25.48,0,0,1.96,0,0,3.92,3.92,0,9.8,1.96,1.96
