stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,1.61,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,5.74,0,1.72,4.02,2.87,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0.98,0,0,0,0.98,0,62.82,0,7.85,2.94,3.93,0,0,0,0,0.98,0,0,1.96,0.98
 72-82,0,0,0,14.72,0,0,0.98,3.93,0,0.98,0,0,0.98,186.52,0.98,25.52,15.71,10.8,0,0,2.94,0,1.96,0.98,0,0,0
 84-94,5.31,1.06,0,15.93,0,0,2.12,1.06,0,0,0,2.12,0,146.56,1.06,22.3,12.74,9.56,0,0,0,0,0,1.06,0,0,0
 96-106,6.56,2.19,0,16.39,0,2.19,0,4.37,0,0,0,3.28,1.09,243.7,5.46,28.41,21.86,17.49,0,1.09,3.28,1.09,0,0,1.09,1.09,1.09
108-118,5.36,0,0.77,16.09,0,1.53,0.77,3.83,0.77,2.3,0,2.3,0,248.17,0.77,18.38,22.21,23.74,0,0.77,1.53,0,0.77,0,4.6,1.53,0.77
120,11.76,0,0,21.56,1.96,1.96,0,1.96,0,1.96,1.96,0,0,280.25,0,25.48,31.36,29.4,0,1.96,0,0,0,0,5.88,0,1.96
