stage,blastomeres,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,2,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0.82,3.28,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0.81,0.81
 48-58,0,0,1.15,0,0.57,0.57,0,0,0,0,1.72,0
 60-70,0,1.96,1.96,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0.77,1.53,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0
