stage,blastomeres,epidermis,eye,glial,lateral.line,mesenchyme,neural,slow.muscle,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,2.46,0.82,1.64,0
 36-46,0,0,0.81,0,0,0.81,0,0,0.81,0
 48-58,0,0.57,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,1.96,6.87,0,0,0
 72-82,0,0,4.91,2.94,0,2.94,6.87,0,1.96,0
 84-94,0,1.06,0,2.12,0,0,5.31,0,0,0
 96-106,0,0,6.56,2.19,0,0,6.56,0,1.09,0
108-118,0,0,2.3,3.83,0.77,0.77,2.3,0,0,0.77
120,0,0,1.96,0,0,3.92,5.88,0,0,0
