stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,50.07,0,0.82,52.53,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0,0,0,0,65.26,0,0,90.23,0,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,4.59,0,9.75,0,0,0.57,1.15,0,0,0,0,0,0,0.57,110.17,0.57,1.72,91.81,0.57,0,0.57,0,0,1.15,0,0,0,0,6.31,0,0,6.31,0,0
 60-70,0,0,0,6.87,0,10.8,0,0,0,0.98,0.98,0,0,0,0,0,0,146.25,0.98,3.93,79.5,0,0,0,0,0,0,0,0.98,0,0,0,0,0,10.8,0,0
 72-82,0,0,0,18.65,2.94,20.61,0.98,0,0.98,0.98,0.98,0,0,0,0,0,0,235.6,0,0.98,121.73,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0.98,30.43,0.98,0.98
 84-94,0,0,0,36.11,0,26.55,0,1.06,0,3.19,0,0,0,1.06,0,0,0,150.81,3.19,1.06,67.97,0,0,1.06,0,0,2.12,0,1.06,1.06,0,0,0,1.06,42.48,0,0
 96-106,1.09,0,0,52.46,1.09,20.76,1.09,1.09,1.09,6.56,1.09,0,0,1.09,0,4.37,0,178.13,1.09,3.28,49.18,0,1.09,0,0,0,2.19,0,0,1.09,0,1.09,1.09,0,65.57,0,1.09
108-118,0.77,0,0,48.26,0,4.6,1.53,1.53,0,2.3,0.77,0.77,1.53,3.83,0,0,0,150.89,0,1.53,79.66,0,0,0,0,0.77,2.3,0,0.77,0,0,0,0,0.77,45.19,0,0
120,0,0,0,39.2,3.92,1.96,3.92,1.96,0,0,1.96,0,3.92,0,1.96,0,0,117.59,0,5.88,97.99,0,0,0,0,0,0,0,0,0,0,1.96,0,0,33.32,0,0
