stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,23,9,11,0,0,0,6,3,0,1,0,0,0,0,2,0,14,0,0,15,179,2,1,4,2,0,5,27,3,0,23,72,0,0,2,0,0
 24-34,0,0.82,9.85,0.82,51.71,0,0,0.82,9.85,0.82,0,1.64,0,0.82,0,1.64,0.82,0.82,47.61,0,0,21.34,382.52,3.28,7.39,8.21,0,0,9.85,0,0,0.82,7.39,87.01,0,0,10.67,0,0.82
 36-46,0,0,6.45,0.81,66.87,0,0.81,1.61,17.72,0,0,0.81,0,0,0.81,1.61,1.61,0.81,45.12,0,1.61,10.47,294.87,0.81,2.42,2.42,0,0,18.53,0,0,0,0,62.84,0,0,4.03,0,0.81
 48-58,0,0,4.59,1.72,111.32,0.57,0.57,1.15,29.84,0,0.57,1.72,0.57,0.57,0.57,1.15,0.57,0,49.35,0,1.15,10.9,219.77,0,3.44,1.15,0,1.15,5.74,0,0,0,0,58.53,0,0.57,4.59,0,0
 60-70,0,0,6.87,0,124.65,1.96,0,1.96,18.65,0.98,0,0.98,0.98,0,1.96,0.98,0,0,53.98,0.98,1.96,7.85,212.99,0.98,0.98,1.96,0,0,6.87,0,1.96,1.96,0,30.43,0,0,5.89,0,1.96
 72-82,1.96,0,5.89,0,110.93,0.98,0.98,2.94,38.28,0,0,2.94,0.98,0.98,0,3.93,0,0,83.44,1.96,1.96,7.85,190.44,1.96,5.89,5.89,0,1.96,1.96,0,0,0,0,22.58,0.98,2.94,9.82,0.98,1.96
 84-94,1.06,0,21.24,1.06,60.54,0,1.06,2.12,20.18,4.25,0,1.06,4.25,1.06,1.06,1.06,0,0,35.05,1.06,5.31,6.37,83.9,1.06,0,4.25,0,1.06,10.62,0,1.06,0,0,7.43,1.06,1.06,5.31,1.06,4.25
 96-106,1.09,0,13.11,0,50.27,0,0,4.37,28.41,4.37,0,3.28,2.19,7.65,0,3.28,0,2.19,52.46,2.19,1.09,6.56,67.76,0,3.28,1.09,0,2.19,8.74,0,0,0,0,3.28,0,2.19,7.65,3.28,0
108-118,0,0,6.13,0.77,34.47,0.77,0.77,2.3,22.21,2.3,0,0.77,1.53,2.3,0.77,0.77,1.53,0.77,20.68,0,1.53,4.6,89.62,1.53,0.77,3.83,0,0.77,9.19,0,2.3,0,0,1.53,2.3,0.77,6.13,0.77,0.77
120,1.96,0,15.68,0,31.36,0,3.92,3.92,15.68,3.92,0,0,1.96,0,1.96,0,0,0,25.48,1.96,1.96,9.8,103.87,3.92,3.92,3.92,0,0,17.64,0,0,0,0,3.92,0,0,5.88,0,0
