stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,2.42,0,37.87,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0.57,0.57,3.44,0,24.67,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,5.89,0,30.43,0,0,0.98,0,0,0,0
 72-82,0,0,1.96,0,3.93,0.98,0,0,0,0,0,0,1.96,0.98,0.98,3.93,0,54.97,0,0,1.96,0,0,0,0
 84-94,0,0,3.19,0,2.12,0,3.19,0,0,0,0,0,3.19,2.12,0,2.12,0,84.96,0,0,2.12,1.06,1.06,0,0
 96-106,0,1.09,16.39,0,6.56,1.09,5.46,2.19,1.09,1.09,0,2.19,2.19,5.46,1.09,15.3,0,169.39,0,0,5.46,2.19,1.09,0,1.09
108-118,0,0,14.55,0.77,1.53,0.77,3.06,0.77,0.77,0,0,1.53,6.89,3.06,0.77,4.6,0.77,94.98,0,0.77,2.3,1.53,1.53,0.77,0
120,0,0,7.84,0,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0,0,60.75,0,0,0,0,0,0,1.96
