stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,11,1,4,0,0,0,1,0,0,0,0,0,1,4,0,25,1,0,0,0,0,0,4,1,5,6,0,0,0
 24-34,0,3.28,0,9.03,0,0.82,0,0,0,0,0,0,0.82,1.64,6.57,1.64,106.71,0,0,0.82,0,0,0,0,0,1.64,9.85,0.82,0,0.82
 36-46,0,0,0,5.64,0,0,0,0,0,0.81,0,0,4.03,0,6.45,0.81,298.9,0,0,0.81,0,0,0.81,0,0.81,0,51.56,0,0,0.81
 48-58,0,1.15,0,33.85,0,0,1.72,0,0,0,0,0,2.3,1.15,12.05,1.15,210.59,0,0,0.57,0,0,0,0,0,0,59.68,0,0,1.15
 60-70,0,0,0,40.24,0,0.98,6.87,0,0.98,0,0,0,4.91,0,20.61,0,71.65,0,0,0.98,0,0.98,0,0,0,0,19.63,0,0,0.98
 72-82,0,0,0,16.69,0,0.98,2.94,0,0,0,0,0,2.94,0,34.36,0,35.34,0,0.98,0,0,0,0,0,0,0,2.94,0,0,2.94
 84-94,0,2.12,0,24.43,0,0,4.25,0,0,0,0,0,7.43,1.06,30.8,0,24.43,0,0,0,0,0,1.06,0,0,0,4.25,1.06,0,0
 96-106,0,2.19,0,9.84,1.09,0,4.37,0,0,1.09,0,0,12.02,4.37,20.76,0,26.23,0,1.09,2.19,0,0,0,0,0,0,0,0,0,2.19
108-118,0,4.6,0,13.02,0,0.77,2.3,0,0,1.53,0.77,0.77,2.3,3.06,28.34,0,25.28,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77,1.53
120,0,5.88,1.96,17.64,0,0,3.92,0,0,3.92,0,0,1.96,0,29.4,0,15.68,0,1.96,0,0,0,0,0,0,0,1.96,0,0,5.88
