stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,1,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,1.64,0.82,0,0.82,32.01,0.82,0,0,0,0,0,0,0,11.49,0,0.82,0,0
 36-46,0,0,0,0.81,0,4.83,1.61,0,0,0,0.81,0,0,0,3.22,0,0,28.2,0.81,0,0,0,0,0,0.81,0,8.86,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,23.53,0.57,0,0,0,0,0,0.57,0.57,1.72,0.57,0,31.56,0,0,0,0,0,0,0,0,10.9,0,0,0,0
 60-70,0,0,0,0,0,39.26,3.93,0,0,0,0.98,0,0,0,2.94,0,0,53,0,0,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,0,22.58,3.93,0,0.98,0,0,0,0,0,8.83,0,0,40.25,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,0,21.24,3.19,0,0,0,0,0,0,0,2.12,0,0,26.55,1.06,0,0,0,1.06,0,1.06,0,2.12,1.06,1.06,0,1.06
 96-106,0,0,0,0,1.09,9.84,3.28,0,0,0,0,1.09,0,0,1.09,0,0,15.3,0,0,0,0,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,0,9.19,3.06,0.77,0,0.77,0.77,0,0,0,1.53,0,0,12.26,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,1.96,0,9.8,1.96,0,0,0,0,1.96,0,1.96,0,0,0,25.48,0,0,0,0,0,0,1.96,0,0,0,0,0,0
