stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,0,11.78,0.98,0,0,0.98,0,0,0,1.96
 84-94,0,1.06,0,1.06,0,0,0,0,0,18.05,0,0,0,0,0,1.06,0,4.25
 96-106,0,2.19,1.09,0,0,0,1.09,0,0,46.99,0,0,0,1.09,2.19,4.37,1.09,13.11
108-118,0,0.77,0.77,0,2.3,0,0.77,0.77,0,42.89,2.3,0.77,0,0,0,1.53,0,13.02
120,0,0,0,0,1.96,0,0,0,5.88,76.43,0,0,1.96,0,0,1.96,0,9.8
