stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,6,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0,0.82,0,0.82,71.41,0,0,0,0,0,0,36.94,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,174.02,0,0,0,0.81,0,0,79.76,0,0,0,0,0
 48-58,0,2.3,0,0,20.08,0,1.15,0,0,0,0.57,0,0,2.87,0,0.57,272.56,0,0.57,0,0,0,0,74.59,0,0,0,0,0
 60-70,0,1.96,0,0,53.98,0,6.87,0,0,0,0.98,0,0,7.85,1.96,0.98,557.5,0,0.98,0,0.98,1.96,0,106,0,0,0,0,0
 72-82,0,1.96,1.96,0.98,119.76,0,14.72,0.98,0.98,0,0.98,0,0,19.63,0,0.98,822.63,0,0,0,0,0,0,86.39,0,0,2.94,0,0.98
 84-94,0,1.06,1.06,0,105.14,1.06,20.18,0,1.06,0,3.19,1.06,0,8.5,0,2.12,413.13,0,0,1.06,1.06,0,0,33.99,0,0,1.06,1.06,2.12
 96-106,0,2.19,5.46,0,84.15,1.09,17.49,0,1.09,0,1.09,0,0,7.65,0,0,368.29,1.09,0,4.37,0,1.09,0,25.14,1.09,0,0,0,0
108-118,0.77,2.3,1.53,0.77,87.32,0,26.04,0.77,0,0,0,0.77,0.77,2.3,0,0,349.28,0,0,0.77,0.77,0,0,16.85,0.77,0.77,1.53,0,0.77
120,1.96,7.84,3.92,0,105.83,0,33.32,0,0,1.96,0,1.96,1.96,9.8,0,0,572.26,0,0,1.96,3.92,1.96,0,35.28,0,0,0,0,0
