stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,7.89,0,0,70.98,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.73,9.44,0,0,56.65,0,0,3.15,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,13,3,0,8,0,0,0,1,1,0,0,0,0,0,0,0,19,0,0,12,138,6,1,2,2,0,2,1,10,2,1,23,44,0,0,0,0,0
 24-34,0,0,0,1.64,14.78,0,0,15.6,0,0,0.82,4.1,0,0.82,0.82,0,0,0,0.82,0.82,27.91,0,0,9.85,278.27,1.64,4.1,1.64,0,0,5.75,0,0.82,0.82,0,4.93,81.26,0,0,8.21,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,45.12,0.81,1.61,0,10.47,0,0.81,0,0,0,0,0.81,1.61,31.42,0.81,1.61,8.06,417.34,2.42,6.45,1.61,0,0,6.45,0.81,0,1.61,0,0,99.1,0,0,4.83,0,0
 48-58,0,0,0,0,2.3,0.57,0,78.04,0.57,0.57,2.3,24.1,0.57,1.15,0,0,0,0.57,0,1.15,32.71,1.15,0,3.44,347.73,0,3.44,1.72,0,0,4.02,0,0,0.57,0,0,75.74,0,0,4.02,0,1.72
 60-70,0,0,0,0,6.87,0,0,153.12,0.98,0.98,0,33.37,0,0.98,0,0,1.96,1.96,0,0,53,0,0,8.83,406.35,0.98,4.91,0.98,0,0,3.93,0,0,0.98,0,0,60.85,0,0.98,6.87,0,0
 72-82,0,0,0.98,0,3.93,0.98,0,134.49,1.96,0,1.96,35.34,0.98,0.98,2.94,0,0.98,0.98,1.96,0,88.35,0,1.96,9.82,283.7,0,6.87,6.87,0,0,3.93,0,0,0,0,0,27.49,0.98,3.93,9.82,0,0.98
 84-94,1.06,0,1.06,0,10.62,1.06,0,91.34,0,1.06,1.06,18.05,2.12,0,4.25,0,2.12,0,0,0,42.48,1.06,5.31,3.19,134.88,4.25,2.12,2.12,1.06,2.12,11.68,0,0,1.06,1.06,0,20.18,2.12,0,7.43,4.25,0
 96-106,1.09,0,2.19,0,4.37,4.37,1.09,66.66,1.09,2.19,1.09,19.67,1.09,2.19,3.28,1.09,1.09,1.09,0,0,42.62,0,3.28,3.28,118.03,0,4.37,1.09,0,0,16.39,0,0,0,1.09,0,13.11,1.09,1.09,9.84,1.09,1.09
108-118,0,0,0.77,0.77,10.72,3.06,0,44.43,0,3.06,2.3,16.09,1.53,0.77,4.6,0,3.83,0.77,0.77,0.77,30.64,0.77,1.53,3.06,140.94,0.77,4.6,0,0,0.77,8.43,0,0,0.77,0.77,0,4.6,2.3,3.06,0.77,0.77,2.3
120,0,0,1.96,0,19.6,3.92,0,52.91,1.96,1.96,1.96,9.8,0,0,5.88,1.96,3.92,0,0,1.96,37.24,0,0,3.92,152.86,1.96,7.84,3.92,0,0,5.88,0,0,0,0,0,7.84,1.96,0,3.92,3.92,0
