stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1673.6,28161.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0
  5-6,2372.17,31684.08,0,30.65,0,0,0,0,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,576.19,67.43,0,0,159.37,0,312.61,0,0,0,0,0,0,0,0,0
  7-9,488.94,520.49,0,849.07,0,5.26,0,2102.97,0,0,0,0,0,431.11,0,0,0,0,0,0,0,0,0,15661.87,262.87,0,0,4142.85,0,15.77,26.29,0,7.89,0,0,0,0,0,0
 10-12,9.44,465.75,0,236.02,0,50.35,0,1318.58,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,8465.35,169.94,0,0,3030.53,0,9.44,15.73,18.88,330.43,0,50.35,15.73,0,0,0
 14-21,0,1,0,1,66,25,0,379,0,1,0,19,2,0,4,0,1,0,1,5,103,0,169,3556,23,1,2,67,0,5,0,349,2,12,494,1002,0,4,3
 24-34,0,0,0.82,0,10.67,0.82,0,770.78,0,0.82,18.88,64.03,0,0.82,0,0,0.82,0.82,0,1.64,109.99,0,98.5,2344.37,5.75,1.64,1.64,0.82,0,4.93,0,0.82,4.1,4.1,95.22,545.87,0,32.83,4.93
 36-46,0,0,0,0,4.83,2.42,0,1173.86,0,0,44.31,80.57,0,0,0.81,2.42,0,0.81,0.81,0.81,125.68,0,108.77,1542.86,1.61,2.42,0.81,0,0,3.22,0,0.81,0,1.61,0.81,401.22,0,36.26,2.42
 48-58,0,0,0,0,4.02,0,0,488.31,0,0.57,45.33,44.18,0,0,0,0.57,0.57,1.15,0.57,0,130.25,0.57,41.31,455.03,0,0.57,0,0,0,0.57,0,0,0,0.57,0,100.99,0,11.48,0.57
 60-70,0,0,0.98,0,0.98,0,0,344.51,0,0.98,47.11,40.24,0,0,0,0.98,0,0,0,0.98,82.45,0.98,10.8,307.22,0,0,0,0,0,0,0,0,0,0,0,27.48,0,8.83,1.96
 72-82,0,0,0,0,2.94,0.98,0.98,135.47,0,0,36.32,43.19,0,0,0,0,0,0,0,0,63.81,0,10.8,236.58,0.98,0,0,0,0.98,0,0,0,0,0,0,8.83,0,6.87,0
 84-94,0,0,0,0,2.12,0,0,130.63,0,1.06,30.8,16.99,0,0,0,0,0,2.12,0,0,55.23,0,10.62,157.18,0,1.06,0,0,0,1.06,1.06,0,2.12,0,0,10.62,1.06,2.12,0
 96-106,0,0,0,0,7.65,0,0,104.91,1.09,0,20.76,30.6,0,0,0,0,0,0,0,1.09,43.71,0,6.56,126.77,0,0,0,0,0,2.19,0,0,0,0,0,1.09,2.19,7.65,0
108-118,0,0,0,0,1.53,0,0.77,96.51,0,0,19.92,15.32,1.53,0,0,0,0.77,0,0.77,0,27.57,1.53,3.06,135.58,0,0.77,1.53,0,0,0,0,0,0,0,0,3.83,0,3.06,0
120,0,0,0,0,5.88,0,0,86.23,0,1.96,9.8,15.68,3.92,0,0,0,0,0,0,0,21.56,0,9.8,160.7,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0
