stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,18,149,26,0,66,0,1,0,17,6,3,1,0,6,0,0,0,1,68,0,0,56,723,29,8,4,22,0,25,2,66,8,0,77,253,0,0,4,0,1
 24-34,2.46,4.93,68.95,3.28,0,146.11,0,8.21,1.64,30.37,2.46,4.93,1.64,2.46,9.03,1.64,5.75,0.82,3.28,126.41,3.28,0.82,50.89,1256.73,16.42,18.06,16.42,0,0.82,92.76,0.82,0,5.75,0.82,20.52,291.4,0,0,21.34,0,11.49
 36-46,0,0,26.59,4.03,0,222.36,0.81,1.61,7.25,48.34,2.42,0,0,4.03,2.42,0.81,3.22,1.61,2.42,134.55,2.42,1.61,33.03,1380.11,5.64,22.56,12.09,0,0.81,69.29,0,0.81,4.83,0,0.81,297.29,0,2.42,10.47,0,4.83
 48-58,0.57,0,22.95,1.15,0,379.86,0,4.59,6.89,106.15,3.44,0,2.87,2.87,2.3,1.72,3.44,4.02,4.02,206,6.31,5.74,39.59,1230.24,4.59,13.2,6.31,0,0,47.63,0,0,2.87,0,0,250.75,0,1.15,13.77,0,12.62
 60-70,0.98,0,25.52,0.98,0,551.62,1.96,7.85,9.82,106,8.83,0,2.94,0.98,1.96,5.89,5.89,2.94,1.96,221.82,2.94,13.74,15.7,1268.13,3.93,8.83,13.74,0,0.98,43.19,0,0,3.93,0,0,164.9,1.96,6.87,6.87,0.98,11.78
 72-82,5.89,0,35.34,9.82,0,513.41,0.98,4.91,16.69,177.68,23.56,1.96,4.91,6.87,7.85,2.94,7.85,1.96,4.91,288.61,2.94,9.82,22.58,1028.78,3.93,13.74,18.65,0,2.94,40.25,0,0,3.93,0,0,85.4,6.87,5.89,24.54,6.87,10.8
 84-94,6.37,0,47.79,11.68,4.25,354.72,1.06,5.31,8.5,113.64,31.86,0,2.12,12.74,12.74,9.56,6.37,7.43,4.25,211.35,2.12,7.43,18.05,556.51,3.19,8.5,21.24,0,0,116.82,0,0,5.31,0,0,49.92,15.93,3.19,24.43,3.19,6.37
 96-106,6.56,0,55.74,12.02,2.19,276.49,1.09,4.37,9.84,97.26,29.51,0,2.19,13.11,6.56,6.56,5.46,5.46,5.46,158.46,7.65,6.56,25.14,442.6,5.46,21.86,17.49,0,3.28,81.96,0,0,5.46,0,0,18.58,24.04,7.65,28.41,12.02,8.74
108-118,2.3,0,72,9.19,13.79,210.64,0,6.89,10.72,98.81,32.94,0,1.53,11.49,9.96,9.96,6.89,4.6,2.3,126.38,4.6,2.3,19.15,513.96,3.06,11.49,22.21,0,3.06,51.32,1.53,0,4.6,1.53,0,15.32,16.85,3.06,14.55,3.83,9.96
120,1.96,0,56.83,23.52,3.92,194.02,3.92,5.88,5.88,99.95,23.52,0,1.96,17.64,1.96,7.84,5.88,5.88,0,121.51,1.96,0,29.4,486.03,3.92,5.88,21.56,0,3.92,45.08,0,0,1.96,3.92,0,33.32,7.84,7.84,21.56,3.92,7.84
