stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,18,14,1,0,0,0,0,0,0,0,154,319,48,0,0,0,0,0
 24-34,0,0,0.82,16.42,26.27,0,16.42,227.38,0,3.28,1.64,0,0,4.1,0.82,0,0,0.82,0,20.52,20.52,0,0,64.85,236.41,1.64,0.82,1.64,0,0,9.03,0.82,0.82,222.45,362,63.21,0,0,3.28,0,2.46
 36-46,0,0,0,6.45,27.39,0,25.78,460.04,0,0,42.7,0,0,3.22,0,0,0.81,0,0,23.36,24.17,0,0,25.78,757.33,1.61,0,1.61,0.81,0,8.06,0,0,185.3,27.39,93.46,0,0,1.61,0,1.61
 48-58,0,0,0,9.18,67.14,0,80.91,448.72,1.15,2.3,82.63,0,0,1.15,2.3,0,0.57,0.57,0.57,14.92,44.76,0.57,0.57,38.44,731.6,3.44,2.87,0.57,0.57,0.57,3.44,0,0,156.65,0,95.25,0,0,6.31,0.57,6.31
 60-70,0,0,0,13.74,81.47,0,100.12,334.7,0,0,80.48,0,0,1.96,0.98,0,0,0.98,0,6.87,31.41,0.98,3.93,41.22,696.88,0.98,0,1.96,0.98,0,5.89,0,0.98,104.04,0,67.73,0,0.98,1.96,2.94,2.94
 72-82,0,0,0,8.83,175.72,0,137.43,244.43,0.98,4.91,74.61,0,0,1.96,2.94,0,1.96,0,1.96,0.98,57.92,1.96,6.87,37.3,698.94,0,0.98,3.93,0,2.94,4.91,0,0,64.79,0,49.08,0.98,0.98,8.83,1.96,3.93
 84-94,0,0,0,27.61,123.2,0,114.7,404.64,3.19,2.12,52.04,2.12,1.06,1.06,6.37,2.12,2.12,2.12,5.31,3.19,57.35,0,6.37,42.48,466.23,3.19,1.06,2.12,0,0,20.18,0,0,122.13,0,35.05,0,1.06,8.5,8.5,4.25
 96-106,0,0,0,27.32,124.58,0,163.93,653.52,4.37,2.19,73.22,1.09,0,5.46,5.46,3.28,1.09,3.28,6.56,2.19,68.85,1.09,7.65,60.11,503.8,0,5.46,7.65,0,1.09,32.79,0,1.09,119.12,0,22.95,1.09,4.37,10.93,17.49,7.65
108-118,0,0,0,28.34,65.87,1.53,88.85,494.05,3.06,1.53,58.21,3.06,0,3.06,6.13,1.53,3.83,0.77,2.3,2.3,52.85,1.53,3.83,62.81,527.75,4.6,3.83,6.13,0,0.77,12.26,0,0,106.47,0,20.68,1.53,0.77,2.3,6.89,2.3
120,0,0,0,15.68,109.75,1.96,121.51,258.69,3.92,1.96,88.19,0,0,1.96,3.92,0,5.88,0,1.96,0,27.44,0,3.92,66.63,595.77,11.76,1.96,5.88,0,1.96,5.88,1.96,0,37.24,0,23.52,0,1.96,3.92,5.88,0
