stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,15.77,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,89.38,2.63,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,141.61,6.29,0,0,40.91,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,2,3,0,1,0
 24-34,0,0,0,0.82,0,3.28,0,0,0.82,0,0,0,0,0,6.57,0,0,0,36.94,0,0,0,0,0,0,0,0.82,9.03,0,0,0
 36-46,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0,0,2.42,0,0,0.81,28.2,0,0.81,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,1.15,0,11.48,0,0,1.15,0,0,0,1.15,0.57,6.31,0.57,0,0.57,16.07,0,0.57,0,0,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,0,0.98,0,7.85,0.98,0,0.98,0,0,0,0.98,0,8.83,0,0.98,0.98,20.61,0,0,0,0,0,0.98,0,0,0,0,0,1.96
 72-82,0,0,0,1.96,0,9.82,0,0,3.93,0,0,0.98,0.98,0,6.87,0,0.98,0,19.63,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,8.5,0,1.06,5.31,0,0,1.06,1.06,0,9.56,0,1.06,0,10.62,0,0,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,5.46,0,1.09,2.19,0,0,0,0,0,5.46,0,0,0,7.65,0,0,2.19,0,1.09,1.09,0,0,1.09,0,2.19,0
108-118,0,0,0,0.77,0.77,2.3,0.77,0,1.53,0,0.77,0,1.53,0,4.6,0,0,1.53,10.72,0,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,5.88,0,3.92,0,0,1.96,0,1.96,0,0,0,9.8,0,0,1.96,11.76,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0
