stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,12,1,0,0,0,1,2,0,6,1,5,0,0
 24-34,0,2.46,0.82,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0,58.28,12.31,0,0,0,0,0,0,3.28,0,9.03,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,14.5,0,0,0,0,0,0.81,0.81,0,0,115.21,10.47,0.81,0,0.81,0,0,0,0.81,0,22.56,0,0
 48-58,0,0,1.15,0,0,11.48,0,0,40.74,0,0,0,0,0,2.3,2.3,0,0,130.25,10.33,0.57,0,0.57,0,0,0,0,0,29.84,0,0.57
 60-70,0,0,1.96,0,0,21.59,0,0,57.91,0,0,0,0,0,0.98,2.94,0,0,157.04,7.85,0,0,0,0,0,0,0,0,18.65,0,0
 72-82,0,0.98,1.96,0,0.98,29.45,0.98,0,73.62,0,0,2.94,0,0.98,4.91,3.93,0,0.98,157.07,17.67,2.94,0,0,0,0,0,0,0,6.87,0.98,0
 84-94,0,0,8.5,0,0,31.86,0,0,45.67,1.06,0,1.06,1.06,0,8.5,5.31,0,0,96.65,11.68,3.19,0,2.12,0,0,0,0,0,6.37,2.12,0
 96-106,0,0,6.56,1.09,0,19.67,1.09,1.09,60.11,0,0,3.28,1.09,0,5.46,1.09,0,0,112.56,33.88,3.28,0,2.19,0,0,0,0,0,7.65,0,1.09
108-118,0,0,1.53,0,0,16.09,0,0,45.19,0.77,0,2.3,0.77,0.77,11.49,2.3,0.77,0,126.38,21.45,1.53,0,2.3,0,0,0,0,0,0,1.53,0
120,0,0,3.92,0,0,3.92,0,0,43.12,0,0,0,0,0,1.96,5.88,0,0,121.51,3.92,1.96,0,0,0,0,1.96,0,0,3.92,0,0
