stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0,0,0.82,0,0,0,0,0,1.64,0,0,42.68,0.82,0,0,0.82,18.06,0,0,0.82,0,0,1.64,0.82,0,6.57,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,1.61,0,16.92,0,0,111.18,0.81,0,0,0.81,21.75,0,0,0,0,0.81,0,0,0,4.03,0,0,0.81,0,3.22
 48-58,0,0,0,0,1.15,1.15,0,18.36,0,0,0,4.59,0,0,0,5.74,0,56.81,0.57,0,103.86,4.59,0.57,1.15,1.15,41.89,0,0,0.57,0,0,1.15,0.57,0.57,6.31,0,0,0,0,15.49
 60-70,0,0,0,0,2.94,0,0,32.39,0,0.98,0.98,8.83,0.98,0,0.98,18.65,0,130.54,0,0.98,70.67,3.93,0,0.98,0.98,45.15,0,0.98,0,0,0.98,1.96,0,0,3.93,0,0,0.98,0.98,27.48
 72-82,0,0,0,0,0.98,2.94,0,29.45,0,0.98,1.96,10.8,3.93,0,0.98,28.47,0,140.38,0.98,2.94,59.88,11.78,0.98,1.96,0,37.3,0,1.96,1.96,0,0,2.94,2.94,0,0.98,0,1.96,0.98,4.91,62.83
 84-94,0,0,0,0,0,0,0,30.8,0,1.06,2.12,5.31,5.31,0,0,48.85,0,172.05,0,1.06,99.83,7.43,0,3.19,1.06,23.36,0,1.06,0,0,0,5.31,9.56,0,3.19,0,4.25,2.12,4.25,32.92
 96-106,0,0,1.09,1.09,2.19,3.28,2.19,29.51,1.09,0,0,5.46,13.11,0,0,50.27,0,153,0,1.09,67.76,17.49,0,2.19,1.09,22.95,1.09,1.09,1.09,0,1.09,5.46,15.3,0,0,1.09,3.28,3.28,12.02,38.25
108-118,0,0,3.83,0,1.53,2.3,0.77,20.68,0,0,0,1.53,19.92,0,0,37.53,0,207.58,0,0.77,90.38,8.43,0.77,0.77,1.53,24.51,0.77,0,0,0,0,6.13,28.34,0,0.77,0.77,2.3,1.53,3.83,22.98
120,0,0,1.96,0,3.92,1.96,0,11.76,0,0,5.88,3.92,47.03,0,0,66.63,0,145.02,0,0,31.36,11.76,0,1.96,1.96,7.84,0,0,0,0,0,1.96,27.44,0,1.96,0,0,0,5.88,7.84
