stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,21,4,9,0,0,0,4,0,1,0,0,1,0,0,0,0,5,0,0,6,84,2,0,2,1,0,0,0,15,3,0,8,27,0,0,0,0
 24-34,0,0,0,0.82,5.75,0.82,16.42,0,0.82,0.82,8.21,0,0,0,0,0.82,0,0,0,0.82,24.63,0,0,10.67,125.59,1.64,0,0.82,0,0,1.64,0,0.82,0.82,0.82,2.46,27.91,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,12.89,0,0,1.61,4.03,2.42,0,0,0,0,0,0.81,0,0,19.34,0.81,0.81,4.03,53.17,0.81,0,0.81,0,0,0,0.81,0,0,0,0,15.31,0,0.81,0,1.61
 48-58,0,0,0.57,0,2.3,0,14.92,0,0,1.72,10.33,0,0,0,0,0.57,0,2.3,0,0,18.36,0.57,0.57,5.16,18.36,2.3,0,0.57,0,0.57,0.57,0,0,0.57,0,0,3.44,0,0,0,0.57
 60-70,0,0,0.98,0,6.87,0,12.76,0.98,0,0.98,6.87,0.98,0,0,0,0,0,0,0,0,21.59,1.96,0,2.94,6.87,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0
 72-82,0,0,0,0,3.93,0,4.91,0,0.98,1.96,6.87,0,0,0,0,0.98,0,0.98,0,0.98,31.41,1.96,0.98,6.87,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,3.93,0
 84-94,0,0,0,0,8.5,0,7.43,0,2.12,1.06,6.37,0,1.06,1.06,1.06,2.12,2.12,0,1.06,2.12,26.55,1.06,3.19,7.43,13.81,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,3.19,0
 96-106,0,0,0,0,6.56,0,8.74,0,3.28,0,5.46,1.09,0,1.09,0,0,3.28,0,0,0,25.14,0,1.09,5.46,7.65,1.09,0,0,0,0,0,0,0,0,0,0,4.37,0,3.28,2.19,1.09
108-118,0,0,0,0,8.43,0.77,4.6,0,2.3,0,9.96,0,0,0.77,0,0,0.77,0,1.53,0,17.62,0.77,1.53,6.13,16.85,2.3,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77,0.77,1.53,1.53
120,0,0,0,1.96,1.96,0,9.8,0,3.92,1.96,5.88,0,0,0,1.96,0,0,0,0,0,17.64,1.96,0,3.92,15.68,0,0,0,0,0,0,0,0,0,0,0,0,1.96,7.84,3.92,0
