stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,3,1,0,0,0,4,1,1,1,1,12,0,2,0,6,0,3,33,0
 24-34,0,0,0,0,0,0.82,7.39,0,0,3.28,1.64,30.37,0,0,0,0,0,0.82,66.49,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,1.61,0.81,29.81,0,0,0,0,0.81,0,62.04,0.81
 48-58,0,0,0,0.57,0,0.57,1.72,0,0,0.57,1.15,16.07,0,0,0.57,0,0,0,25.82,0
 60-70,0,0.98,0,0,0,0,0,0,0,2.94,0,11.78,0,0,1.96,0,0,0,11.78,0
 72-82,0,0.98,0,1.96,0,0,1.96,0,0,1.96,0,7.85,0.98,0,0,0,0,0,7.85,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0.77,0,0,0.77,0,0.77,0,0,0,0,3.06,0,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,3.92,0,0,1.96,1.96,5.88,0,0,1.96,0,0,0,0,0
