stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,43,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,572,0,0,2,0,0,2,0,1,6,79,0,0,0,0
 24-34,0,0,0,4.1,0,161.71,0,0,0,3.28,0,0.82,0,0,0,0,0,4.1,0,0,4.93,1917.52,0,4.1,4.93,0,3.28,0,0,0,0.82,206.03,0,0,0,0.82
 36-46,0,0,0,2.42,0,679.18,0,0,2.42,28.2,0,1.61,0.81,0,0,0,0,12.89,0,0,3.22,1886.88,0.81,3.22,0.81,0.81,2.42,0,0,0,0,249.76,0,3.22,0,0
 48-58,0,0,0,1.72,0.57,817.1,0,0,0,45.9,0,0.57,1.15,0,0,1.15,0.57,10.9,0,0,1.72,749.96,0,0.57,0,0,1.72,0,0,0,0,113.61,0,1.72,0,0
 60-70,0,0.98,0,0,0,810.74,0,1.96,0,48.09,0,0,0,0,0,0.98,0,13.74,0,0,1.96,309.18,0,0.98,0,0,0.98,0,0.98,0,0,42.21,0.98,2.94,0,0
 72-82,0,0,0,3.93,0.98,518.32,0,0,0.98,71.66,0.98,0.98,0,0,0.98,3.93,0,15.71,0,0,0,243.45,0,1.96,0.98,0,0,0,0,0,0,15.71,0,4.91,1.96,0
 84-94,0,1.06,0,3.19,1.06,315.43,1.06,0,0,60.54,0,1.06,0,0,1.06,5.31,0,14.87,1.06,1.06,1.06,146.56,0,0,0,0,0,0,0,0,0,8.5,1.06,2.12,0,0
 96-106,0,0,0,5.46,1.09,243.7,0,1.09,0,50.27,1.09,0,2.19,0,0,7.65,0,10.93,0,0,0,124.58,0,1.09,0,0,2.19,0,0,0,0,5.46,0,1.09,0,2.19
108-118,0,0.77,0,3.06,0.77,211.41,0,0,0,39.06,2.3,0,1.53,0.77,0.77,6.13,0,9.96,0,0,0.77,148.6,0,1.53,0,0,0,0,0,0,0,2.3,0,0.77,0.77,0
120,0,0,0,5.88,0,119.55,0,0,0,31.36,0,0,0,1.96,0,7.84,0,3.92,0,0,1.96,123.47,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
