stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,1.64,0.82,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0.98,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.93,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,0,0,7.43,0,1.06,0,0,0,0,0,0,0,0,2.12,0,2.12,0,0,0,1.06
 96-106,0,1.09,0,0,2.19,0,1.09,0,73.22,0,0,1.09,0,0,0,1.09,0,0,0,4.37,1.09,4.37,0,0,0,0
108-118,0,0,1.53,0.77,3.06,0.77,0,0,186.13,0.77,0,0.77,0,0.77,0.77,3.06,0.77,0,0.77,6.89,0,0.77,0,0,0.77,0
120,1.96,3.92,0,0,0,0,1.96,1.96,152.86,0,1.96,0,0,1.96,0,3.92,0,0,0,3.92,0,1.96,1.96,0,0,0
