stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,4,1,0,3,9,2,1,9,1,0,5,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,14.78,1.64,0,2.46,0,4.1,4.1,0.82,0,0,0,0.82,15.6,0,0,1.64,0.82,8.21,0,0,2.46,41.04,5.75,21.34,0.82,0,0,57.46,0,1.64,0,0.82,4.93,0,0,0,0,0
 36-46,0,0,0,12.09,0,0,0.81,0,6.45,7.25,3.22,0,0,0.81,0,4.83,2.42,0.81,0,0,16.92,0.81,0,4.03,30.62,6.45,15.31,0,0,0,54.79,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0.57,0,14.92,0,0,4.02,0.57,6.31,23.53,43.04,0,0,0.57,0,4.59,9.75,0,0,0,92.38,1.72,0,5.74,31.56,19.51,13.77,2.87,0,0,80.91,0,2.3,0,0,18.36,0,0,0,0,0
 60-70,0,0,0,10.8,0,0,15.7,0,6.87,24.54,165.88,0.98,1.96,0,0,5.89,43.19,0.98,0.98,0.98,251.27,3.93,0,8.83,56.93,9.82,9.82,4.91,0,0,159.99,0,0.98,0,0,38.28,0,0.98,0.98,0,0.98
 72-82,0,3.93,0,24.54,2.94,3.93,67.73,0,5.89,31.41,369.1,13.74,3.93,0.98,5.89,18.65,30.43,6.87,0,0.98,483.96,1.96,1.96,11.78,85.4,6.87,19.63,6.87,0,0,252.29,0,9.82,0.98,0,20.61,1.96,9.82,0,3.93,0.98
 84-94,0,2.12,0,35.05,2.12,4.25,50.98,0,13.81,19.12,254.89,13.81,2.12,0,5.31,31.86,61.6,5.31,0,1.06,349.41,8.5,2.12,9.56,37.17,12.74,24.43,8.5,0,0,678.64,0,12.74,0,0,23.36,1.06,9.56,6.37,4.25,1.06
 96-106,0,3.28,0,39.34,2.19,13.11,69.94,3.28,16.39,13.11,228.4,16.39,0,3.28,6.56,30.6,48.09,14.21,1.09,1.09,236.05,9.84,2.19,8.74,65.57,1.09,42.62,13.11,0,1.09,590.14,2.19,17.49,0,0,5.46,3.28,6.56,8.74,7.65,1.09
108-118,0,1.53,0.77,36,0.77,50.55,22.21,0,19.15,9.19,232.09,16.85,0,0.77,17.62,26.04,64.34,6.89,1.53,3.83,145.53,9.19,0,3.06,45.96,8.43,22.98,4.6,0,2.3,448.09,0,38.3,0,0,2.3,2.3,4.6,1.53,2.3,0
120,1.96,5.88,0,35.28,1.96,11.76,23.52,3.92,15.68,3.92,268.49,13.72,0,1.96,17.64,15.68,25.48,9.8,3.92,0,68.59,0,0,5.88,35.28,3.92,17.64,7.84,0,0,378.24,0,21.56,0,0,5.88,1.96,5.88,0,7.84,0
