stage,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,2.94,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,1.09,1.09,0,0,3.28,0,0,1.09,1.09,0,0,0,0,2.19,0
108-118,0.77,0.77,0.77,2.3,0,0,0,2.3,0,3.06,0,0,0.77,0,0.77,0,0,0,0.77,0
120,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0
