stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,44.06,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,434.28,0,3.15,0,3.15,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,4,375,36,0,1,0,0,0,28,36,0,0,0,0,0,0,40,0,0,26,85,75,1,3,224,0,2,0,632,2,3,148,584,0,0,3,0,0
 24-34,0,0,0,25.45,0.82,0,4.93,0,9.85,0.82,41.04,13.13,0,0.82,1.64,0,0,3.28,46.79,0,0,30.37,59.92,8.21,0,0.82,0,0,0,0,0,0,1.64,44.33,266.78,0,0,17.24,0,1.64
 36-46,0,0,0,5.64,0,0,4.83,1.61,11.28,7.25,30.62,3.22,0,0,0.81,0.81,0,1.61,105.54,1.61,0,60.43,50.76,4.03,0,0,0,0,2.42,0,0.81,0.81,1.61,0,451.17,0,0,12.09,0,1.61
 48-58,0,0,0,4.02,0,0,14.35,0.57,6.89,14.35,13.2,0.57,0,0,3.44,0,1.15,2.87,113.04,0.57,3.44,44.18,60.25,6.31,0,0,0,0,4.59,0,0,0.57,0,0,410.27,0,0,4.02,0,2.3
 60-70,0,0,0,4.91,0,0,9.82,2.94,16.69,21.59,13.74,4.91,0,0,0,0,0,0.98,105.02,0.98,5.89,24.54,39.26,2.94,0,0,0,0,1.96,0,0,0,0.98,0,375.92,0,0,4.91,1.96,2.94
 72-82,0,1.96,0,6.87,0.98,0,18.65,0.98,12.76,30.43,42.21,4.91,0.98,0.98,0.98,0,0,1.96,131.54,0.98,2.94,30.43,49.08,3.93,0,0,0,0,3.93,0,0,0,0.98,0,194.37,0.98,1.96,6.87,9.82,0
 84-94,0,5.31,0,11.68,1.06,0,26.55,1.06,18.05,14.87,16.99,19.12,1.06,1.06,1.06,0,0,0,73.28,1.06,9.56,23.36,29.74,0,0,0,0,1.06,4.25,0,0,1.06,0,0,111.51,0,1.06,10.62,5.31,0
 96-106,0,2.19,0,13.11,0,1.09,9.84,0,9.84,7.65,14.21,8.74,0,1.09,2.19,0,0,2.19,60.11,0,5.46,21.86,29.51,2.19,0,0,0,1.09,2.19,0,0,0,0,0,32.79,0,1.09,9.84,5.46,0
108-118,0,1.53,0,7.66,0.77,0,4.6,2.3,16.09,6.89,13.79,16.85,0,0,2.3,0,0.77,0.77,52.85,1.53,4.6,15.32,30.64,3.83,0,0.77,0,0.77,0.77,0,0,0.77,2.3,0,32.17,0,1.53,9.19,6.13,3.83
120,0,0,0,23.52,0,0,7.84,1.96,19.6,11.76,9.8,7.84,0,0,3.92,0,1.96,0,64.67,0,3.92,21.56,21.56,0,0,0,0,0,3.92,0,0,0,0,0,19.6,0,0,5.88,3.92,0
