stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,557.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,21.03,0,0,0,15.77,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,199.78,7.89,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,270.64,3.15,0,0,107,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,45,6,0,5,0,1,0,1,4,0,2,0,1,0,0,0,0,24,0,0,14,99,4,0,2,5,0,2,20,0,1,19,41,0,0,2,0,0
 24-34,0,0,0.82,19.7,0.82,0,22.98,0,2.46,0.82,4.93,1.64,0,1.64,0,0.82,0,0.82,0,0,22.98,0.82,0,10.67,192.9,0,1.64,4.1,0,0,16.42,0.82,0.82,0.82,4.1,39.4,0,0,6.57,0,0
 36-46,0,0,0.81,5.64,0.81,0,35.45,0.81,0.81,3.22,8.86,0,0,1.61,0,0,0,0.81,0,0.81,38.67,0,2.42,8.06,167.58,4.03,0.81,0.81,0,0,16.11,0,0,0.81,0,38.67,0,0,0,0,0.81
 48-58,0,0.57,0,2.3,0.57,0,46.48,0,2.3,2.87,12.62,0,0,1.15,0,0,0,0.57,0,0.57,33.28,0,0,4.02,117.06,0.57,0,1.72,0,0,9.75,0,0,0,0,30.99,0,0,5.74,0,1.72
 60-70,0,0,0,1.96,0.98,0,37.3,0,3.93,3.93,17.67,0,0,0.98,0,0.98,0,0,0,0,43.19,0,0.98,3.93,158.03,0.98,0.98,0.98,0,0,5.89,0,0,0.98,0,19.63,0,1.96,2.94,0,0.98
 72-82,0,0,0,3.93,5.89,0,54.97,0.98,3.93,6.87,16.69,0,0,2.94,0.98,0,1.96,0,0,0,40.25,0,2.94,5.89,107,0,0.98,0,0,0,5.89,0,0,0,0,11.78,0.98,0,4.91,2.94,0
 84-94,0,0,0,3.19,7.43,0,42.48,1.06,5.31,8.5,9.56,0,0,0,2.12,2.12,1.06,0,0,0,38.23,0,3.19,2.12,64.78,2.12,1.06,4.25,0,1.06,12.74,0,2.12,0,0,7.43,0,1.06,6.37,0,1.06
 96-106,0,0,0,3.28,3.28,0,24.04,0,4.37,4.37,15.3,2.19,0,0,3.28,1.09,0,1.09,1.09,0,38.25,2.19,0,4.37,55.74,0,1.09,5.46,0,2.19,8.74,0,0,0,0,8.74,0,1.09,2.19,4.37,0
108-118,0,0,0,6.13,3.83,1.53,26.81,0,2.3,4.6,13.02,3.06,0,1.53,1.53,0.77,3.06,0,0,1.53,26.04,1.53,3.06,5.36,68.94,1.53,1.53,6.13,0,0,8.43,0,1.53,0,0,3.06,0.77,0.77,3.83,3.06,0.77
120,0,0,0,9.8,1.96,0,15.68,0,1.96,1.96,11.76,0,0,0,0,1.96,1.96,0,0,0,15.68,0,0,5.88,70.55,3.92,1.96,7.84,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0
