stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  5-6,24.52,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,15.77,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,0,0.81,2.42,0.81,0,0,0,0,2.42,1.61
 48-58,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,0,1.09,3.28,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0
