stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,30.65,159.37,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0.57,0,0.57,0,0,0.57,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,0,0,0,0,0,1.09,2.19,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0
