stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,118.6,3017.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,196.15,4039.43,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,140.98,12.26,0,0,42.91,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,76.23,102.52,170.87,0,2.63,276.01,0,0,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,2660.26,60.46,0,0,983.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,47.2,100.7,0,12.59,236.02,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,1888.18,69.23,0,0,619.95,0,3.15,6.29,6.29,69.23,6.29,3.15,0,0,0,0
 14-21,0,0,5,79,24,50,0,0,0,16,4,0,0,0,3,0,0,0,0,60,0,0,37,776,9,3,10,20,0,1,1,73,6,57,270,0,0,5,0
 24-34,0,0,1.64,22.98,3.28,106.71,0,2.46,0.82,28.73,0.82,0.82,0.82,0,1.64,0.82,0.82,2.46,1.64,111.64,0.82,0,37.76,1132.78,1.64,4.1,5.75,0,0,5.75,0,1.64,1.64,7.39,272.52,0,0,19.7,2.46
 36-46,0,0,0,3.22,0.81,187.72,0,0.81,0,18.53,0,0,2.42,1.61,0.81,0,0,2.42,0,63.65,0,2.42,22.56,846.76,0,0.81,3.22,0,0,0.81,0,0.81,0,0.81,182.89,0,0.81,3.22,1.61
 48-58,0.57,0,0,9.18,0,283.46,1.15,0,1.72,33.85,0.57,0,1.72,0,0.57,0,0.57,0.57,0,127.38,0,4.59,26.97,493.47,1.72,1.15,3.44,0,0,1.15,0.57,0.57,0,0,120.5,0,0,5.16,0
 60-70,0,0,0,6.87,0,214.95,0,0.98,1.96,44.17,0.98,0,0,0,0,0,0.98,0,0,84.41,0,4.91,6.87,296.42,1.96,2.94,0,0,0.98,2.94,0,0,0,0,45.15,0,0.98,3.93,0.98
 72-82,0,0,0,2.94,1.96,100.13,0,0,0.98,32.39,0,0,1.96,0.98,1.96,0,0,0,0,74.61,0,3.93,13.74,156.08,0,1.96,2.94,0,0,1.96,0,0,0.98,0,20.61,0,1.96,3.93,0
 84-94,0,0,0,9.56,2.12,47.79,0,1.06,2.12,20.18,2.12,0,1.06,3.19,1.06,1.06,1.06,0,0,64.78,0,4.25,12.74,107.27,0,0,2.12,0,1.06,3.19,0,0,1.06,0,7.43,3.19,0,6.37,0
 96-106,0,0,0,8.74,1.09,50.27,0,2.19,3.28,20.76,1.09,0,1.09,3.28,0,0,0,1.09,0,42.62,0,2.19,8.74,83.06,0,1.09,3.28,0,0,2.19,0,0,0,0,3.28,0,2.19,1.09,0
108-118,0,0,0,6.89,1.53,30.64,0,0.77,3.06,16.85,1.53,0,0,1.53,0.77,0,1.53,0,0,22.98,0,0.77,4.6,111.83,0,1.53,3.06,0,0.77,1.53,0,0,0.77,0,0.77,1.53,0,3.06,0.77
120,0,0,0,11.76,5.88,47.03,0,1.96,1.96,13.72,1.96,0,1.96,3.92,5.88,0,0,0,0,15.68,0,0,5.88,111.71,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,5.88,0
