stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0,7,0,0,8,27,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0
 24-34,0,0,1.64,0,0,4.93,0,0,1.64,0.82,1.64,0,0,0,0,0,0,45.15,0,0,29.55,29.55,0.82,0,0.82,0,0,0,0,0,2.46,0.82,6.57,0,1.64,0,0
 36-46,0,0,0.81,0,0,3.22,0,0,6.45,0,0,0,0.81,0,0,0,0,81.37,0,0,24.98,12.89,0,0,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,0.57,9.75,1.72,0,0,0,0,0,0,0,129.68,0,1.15,16.64,11.48,0,1.15,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,7.85,0,0,10.8,4.91,0,0,0,0,0,0,0,215.93,0,1.96,11.78,8.83,0,0,0.98,0,0.98,0,0,0,0,0,0,8.83,0,0.98,0
 72-82,0,0,0,0,0,17.67,0,0.98,9.82,10.8,0,0.98,0,0,0,0,0,389.72,0,5.89,26.5,24.54,0,0,0.98,0,0,0.98,0,0,0,0,0.98,3.93,0.98,6.87,0.98
 84-94,0,0,1.06,0,0,21.24,0,0,5.31,2.12,0,2.12,0,2.12,0,0,2.12,227.28,0,2.12,11.68,5.31,0,0,4.25,0,0,0,0,0,1.06,0,1.06,5.31,1.06,8.5,0
 96-106,1.09,0,0,0,0,7.65,0,1.09,9.84,3.28,0,1.09,1.09,0,1.09,0,0,265.56,0,3.28,17.49,17.49,0,0,3.28,0,3.28,1.09,0,0,1.09,0,0,3.28,0,9.84,0
108-118,0,0,0.77,0,0.77,8.43,0.77,0,1.53,4.6,0,0.77,0.77,0.77,0,0.77,0.77,187.66,0,3.83,13.02,19.15,0,0,3.06,0,3.83,0,0.77,0,1.53,0,0,4.6,0.77,4.6,0
120,0,0,1.96,0,0,5.88,0,0,7.84,3.92,0,0,0,0,0,0,0,148.94,1.96,7.84,11.76,11.76,0,0,0,0,1.96,0,0,0,0,0,5.88,3.92,0,1.96,0
