stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,12,2,0,4,0,0,0,1,3,0,0,2,0,0,0,1,4,0,0,1,23,2,0,1,0,0,1,0,0,5,9,0,0,0,0,0
 24-34,0,0,4.1,0.82,0,5.75,0,0.82,0,0.82,0.82,0,0.82,0,0,0,0,1.64,5.75,0,0,2.46,18.06,0,1.64,0,0,6.57,0,0,0,0.82,5.75,0,0,0.82,0,0.82
 36-46,0,0,7.25,0.81,0,1.61,0,0.81,0,3.22,0,0,0,0.81,0.81,0.81,0,0.81,8.06,0,0,0.81,4.03,1.61,0,0,0,5.64,0,0,0.81,0,5.64,0,0,0,0,2.42
 48-58,0,0,0,0.57,0,4.02,0.57,0.57,0,1.72,0,1.15,0.57,0,0,1.15,0,1.72,12.62,0,0.57,1.72,8.61,3.44,0.57,0.57,0,2.87,0,1.15,0,0,1.72,0,0,1.15,0,2.3
 60-70,0,0,0.98,0,0,6.87,0,1.96,0,8.83,0,0,1.96,0,0,0,0,1.96,9.82,0,0.98,1.96,5.89,0.98,0.98,0,0,1.96,0,0.98,0,0,1.96,0,0,0.98,0.98,1.96
 72-82,0,0,5.89,16.69,0,5.89,0,0,0.98,14.72,1.96,0,1.96,0,0,1.96,0.98,2.94,16.69,0,1.96,0.98,5.89,0.98,0,0.98,0,8.83,0,0,0,0,0.98,0,1.96,3.93,0.98,2.94
 84-94,0,0,9.56,5.31,0,6.37,0,4.25,1.06,9.56,2.12,1.06,1.06,0,0,1.06,1.06,10.62,24.43,1.06,1.06,0,9.56,4.25,0,1.06,0,13.81,0,0,0,0,0,1.06,0,3.19,1.06,4.25
 96-106,0,0,12.02,13.11,0,8.74,0,3.28,1.09,18.58,2.19,1.09,3.28,3.28,2.19,1.09,0,2.19,21.86,1.09,1.09,1.09,8.74,0,2.19,3.28,1.09,15.3,0,3.28,0,0,0,1.09,3.28,7.65,2.19,4.37
108-118,0,0,12.26,6.89,2.3,9.96,0,3.83,0.77,19.15,3.06,0.77,5.36,3.06,3.06,5.36,0.77,12.26,16.85,0,0,2.3,10.72,1.53,0.77,4.6,1.53,11.49,0,0,0.77,0,1.53,0,0.77,6.13,0,10.72
120,0,0,23.52,11.76,0,9.8,0,1.96,1.96,17.64,5.88,0,5.88,1.96,9.8,0,0,1.96,11.76,1.96,1.96,1.96,1.96,3.92,0,0,0,21.56,0,3.92,0,0,1.96,0,1.96,7.84,1.96,9.8
