stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1647.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,913.32,0,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,39.43,0,0,60.46,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,475.8,13.14,0,0,333.85,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,47.2,0,6.29,47.2,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,421.69,3.15,0,0,264.35,0,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,1,1,0,3,46,12,20,0,0,7,0,0,1,0,0,0,0,0,0,37,0,0,40,478,10,3,2,26,0,6,0,99,7,0,44,203,0,0,4,0,0
 24-34,0,0,0,2.46,15.6,0.82,119.84,0,0,20.52,0.82,1.64,0.82,1.64,0.82,0.82,2.46,1.64,0,85.37,0,0,28.73,1060.55,3.28,7.39,9.03,0,0,27.91,0,0,1.64,1.64,4.1,279.91,0,0,14.78,0,2.46
 36-46,0,0,0,0,12.89,3.22,281.18,0,0.81,19.34,0.81,0,0.81,4.03,0,1.61,0,1.61,0,68.48,0,2.42,29,797.61,2.42,5.64,0.81,0,0,20.14,0,0.81,0,0,0,194.17,0,0,5.64,0.81,0.81
 48-58,0,0,0,0,11.48,8.03,354.61,1.15,1.15,13.2,0.57,0,3.44,5.74,0,1.72,0,1.72,0.57,76.89,0.57,6.89,16.64,372.97,1.15,1.72,2.3,0,0,10.9,0,0,0.57,0,0,68.28,0,0,7.46,0,2.3
 60-70,0,0,0,0,12.76,0.98,302.31,0.98,0.98,19.63,3.93,0,1.96,4.91,0,2.94,0,1.96,0,55.95,0,5.89,10.8,191.4,2.94,2.94,0,0,0,8.83,0,0,0,0,0,9.82,0,0,2.94,0,1.96
 72-82,0,0,0,0,15.71,3.93,124.67,0,0.98,21.6,5.89,0,4.91,11.78,0.98,2.94,0,0.98,0,80.5,0.98,6.87,11.78,156.08,0,2.94,1.96,0,0,3.93,0,0,0,0.98,0,10.8,1.96,0.98,10.8,1.96,0
 84-94,0,0,0,0,22.3,5.31,90.27,0,0,10.62,4.25,0,2.12,9.56,4.25,4.25,0,1.06,0,66.91,0,9.56,7.43,88.15,0,2.12,0,0,0,4.25,0,0,2.12,0,0,3.19,0,2.12,10.62,0,1.06
 96-106,0,0,0,0,12.02,4.37,80.87,0,1.09,18.58,9.84,0,6.56,6.56,1.09,0,0,2.19,0,41.53,0,6.56,5.46,109.28,1.09,3.28,6.56,0,1.09,4.37,0,0,0,0,0,1.09,1.09,0,6.56,2.19,1.09
108-118,0,0,0.77,0,6.89,11.49,52.09,0,0.77,22.21,3.06,0,0.77,9.19,0,3.06,0,0.77,0,19.92,0,6.13,7.66,130.98,2.3,1.53,2.3,0,0,3.06,0,0,1.53,0,0,1.53,0.77,1.53,6.89,1.53,0
120,0,0,0,0,11.76,7.84,68.59,0,1.96,21.56,1.96,0,0,9.8,0,0,0,0,0,29.4,0,3.92,5.88,107.79,0,0,0,0,0,3.92,0,0,0,0,0,5.88,0,1.96,5.88,0,0
