stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,6,146,32,0,29,0,0,0,8,3,2,0,1,2,0,0,1,1,35,0,0,29,500,24,6,8,13,0,21,79,2,7,135,287,0,0,4,0,1
 24-34,0,0.82,0,40.22,3.28,0,45.15,0,3.28,1.64,13.95,0.82,0.82,0,2.46,6.57,1.64,2.46,4.1,2.46,64.03,0,1.64,28.73,1252.63,5.75,18.88,12.31,0,0,34.48,0,0.82,2.46,22.16,404.68,0,0,13.13,0,0.82
 36-46,0,0.81,0,31.42,0,0,103.13,0,5.64,6.45,49.15,0.81,0,1.61,2.42,1.61,2.42,3.22,1.61,1.61,107.15,3.22,1.61,24.17,2234.12,7.25,23.36,12.09,0,0.81,31.42,0,2.42,0.81,0,572.03,0,0,9.67,0,5.64
 48-58,0,0.57,0,18.94,1.72,0,227.23,1.72,6.31,5.16,145.75,3.44,0.57,1.72,3.44,2.3,2.87,5.16,2.3,1.15,172.72,3.44,5.74,25.25,1876.92,2.87,11.48,7.46,0,1.15,25.82,0,2.3,0,0,525.61,0,1.15,12.05,0,5.74
 60-70,0,0.98,0,16.69,7.85,0.98,403.41,3.93,7.85,9.82,188.45,1.96,0,2.94,9.82,0.98,2.94,5.89,2.94,0.98,279.73,1.96,10.8,29.45,1719.63,3.93,11.78,9.82,0,1.96,42.21,0,1.96,0,0,310.16,0,5.89,9.82,0.98,4.91
 72-82,0,0.98,0,28.47,6.87,0,329.84,0.98,4.91,10.8,153.14,5.89,0.98,1.96,7.85,1.96,0.98,4.91,1.96,0.98,231.67,2.94,2.94,27.49,1151.49,1.96,15.71,9.82,0,0,19.63,0,0,0.98,0,129.58,2.94,6.87,12.76,2.94,4.91
 84-94,0,2.12,0,43.54,5.31,2.12,266.57,0,8.5,8.5,89.21,12.74,2.12,2.12,7.43,7.43,3.19,2.12,0,2.12,133.82,4.25,4.25,22.3,569.25,1.06,8.5,9.56,0,0,88.15,0,0,1.06,0,76.47,3.19,4.25,6.37,2.12,2.12
 96-106,0,3.28,0,33.88,4.37,2.19,158.46,0,5.46,6.56,107.1,9.84,0,4.37,6.56,7.65,0,7.65,3.28,0,119.12,3.28,2.19,17.49,427.3,2.19,6.56,13.11,0,1.09,52.46,0,2.19,1.09,0,37.16,1.09,4.37,10.93,4.37,4.37
108-118,0,1.53,1.53,42.89,2.3,3.06,127.92,0.77,14.55,5.36,65.87,5.36,0,2.3,6.13,3.06,2.3,3.83,3.83,0,69.7,0,0.77,15.32,446.56,0,7.66,3.83,0,0.77,33.7,0,1.53,0,0,10.72,2.3,2.3,3.83,3.83,3.83
120,0,0,0,68.59,9.8,0,125.43,1.96,9.8,3.92,62.71,17.64,0,0,7.84,7.84,0,3.92,1.96,1.96,99.95,3.92,1.96,27.44,507.58,3.92,9.8,7.84,0,0,68.59,0,5.88,1.96,0,23.52,3.92,5.88,5.88,3.92,1.96
