stage,axial,blastomeres,epidermis,eye,hatching.gland,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0
 14-21,0,0,1,0,0,1,0,0,4,0,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,5.75,0,0,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,3.44,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,2.94,0,1.96,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
