stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82,0,23.8,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0,1.61,0,0.81,27.39,0,0
 48-58,0,1.15,0,1.15,0,0,0,0.57,0,0,0.57,0,0.57,0,4.02,0.57,0,21.23,0,0
 60-70,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0,0,7.85,0,0
 72-82,0,0.98,0,0,0,0,0.98,0,0.98,0.98,0.98,0,4.91,0,0,0,0.98,15.71,1.96,0
 84-94,0,7.43,0,0,0,0,1.06,0,0,3.19,0,0,1.06,0,2.12,3.19,0,27.61,1.06,0
 96-106,0,10.93,0,1.09,1.09,1.09,2.19,0,0,17.49,1.09,0,5.46,1.09,4.37,3.28,0,50.27,4.37,0
108-118,0,6.13,0.77,0,0,0.77,1.53,0,0,6.89,0.77,0.77,2.3,0,2.3,3.83,0,19.92,3.83,0
120,0,11.76,0,0,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,27.44,1.96,0
