stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,10.67,0,0,0,0,0,0,0,0,0.82,0.82,0,18.06,0,0.82,0,0,15.6,1.64,0,1.64,0,0
 36-46,0,0,0,0,47.53,0,0,1.61,0,0,0,0,0,0,1.61,0,37.06,0,0,0,0,20.14,1.61,0,0.81,0,0.81
 48-58,0,0,0,0.57,85.5,0,0,10.9,2.3,0,0,0,0,0,0.57,0,47.63,0,0,0.57,0,12.62,6.31,0,0.57,0,0
 60-70,0,0.98,0.98,0,88.34,0,0.98,11.78,0,0,0,0,0,0,0,0,40.24,0,0,0.98,0,14.72,0.98,0,0,0,0
 72-82,0,0,0.98,1.96,45.16,0,0,3.93,0.98,0,0,0,0,0,0.98,0,39.27,0,0.98,1.96,0,14.72,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,32.92,0,2.12,3.19,2.12,0,1.06,0,0,0,2.12,0,21.24,0,0,2.12,0,55.23,1.06,0,0,0,0
 96-106,0,0,3.28,2.19,18.58,0,1.09,2.19,0,0,0,1.09,0,0,1.09,0,17.49,0,0,0,0,41.53,0,0,0,0,0
108-118,0,0,1.53,0.77,13.79,1.53,0,3.83,0,0.77,0,0,0.77,0,0.77,0,13.02,1.53,0,0.77,0,15.32,0.77,0,0,0,0
120,0,0,0,3.92,13.72,0,0,7.84,0,0,0,0,0,0,0,0,9.8,0,0,0,0,7.84,0,0,0,0,0
